ko:K00057	cty:CTR_7181
ko:K02412	cty:CTR_7211
ko:K02411	cty:CTR_7221
ko:K02409	cty:CTR_7231
ko:K13819	cty:CTR_7241
ko:K04487	cty:CTR_7251
ko:K06178	cty:CTR_7271
ko:K03524	cty:CTR_7291
ko:K05837	cty:CTR_7301
ko:K01875	cty:CTR_7331
ko:K11752	cty:CTR_7341
ko:K14652	cty:CTR_7351
ko:K00794	cty:CTR_7361
ko:K03310	cty:CTR_7391
ko:K03466	cty:CTR_7431
ko:K00351	cty:CTR_7441
ko:K03210	cty:CTR_7451
ko:K00231	cty:CTR_7491
ko:K01599	cty:CTR_7511
ko:K03723	cty:CTR_7521
ko:K01872	cty:CTR_7531
ko:K00615	cty:CTR_7541
ko:K01241	cty:CTR_7551
ko:K02356	cty:CTR_7561
ko:K01929	cty:CTR_7601
ko:K01000	cty:CTR_7611
ko:K01925	cty:CTR_7621
ko:K03588	cty:CTR_7641
ko:K02563	cty:CTR_7651
ko:K03217	cty:CTR_2461
ko:K04487	cty:CTR_2531
ko:K07083	cty:CTR_2571
ko:K01962	cty:CTR_2601
ko:K01448	cty:CTR_2631
ko:K01928	cty:CTR_2641
ko:K03587	cty:CTR_2651
ko:K03438	cty:CTR_2671
ko:K02313	cty:CTR_2701
ko:K00347	cty:CTR_2731
ko:K00348	cty:CTR_2741
ko:K00349	cty:CTR_2751
ko:K00350	cty:CTR_2761
ko:K02437	cty:CTR_2771
ko:K03800	cty:CTR_2801
ko:K03696	cty:CTR_2811
ko:K00566	cty:CTR_2821
ko:K01963	cty:CTR_2881
ko:K04564	cty:CTR_2891
ko:K03685	cty:CTR_2921
ko:K04485	cty:CTR_2931
ko:K01749	cty:CTR_2941
ko:K01873	cty:CTR_2971
ko:K03046	cty:CTR_3091
ko:K03043	cty:CTR_3101
ko:K02935	cty:CTR_3111
ko:K02864	cty:CTR_3121
ko:K02863	cty:CTR_3131
ko:K02867	cty:CTR_3141
ko:K02601	cty:CTR_3151
ko:K03073	cty:CTR_3161
ko:K02358	cty:CTR_3171
ko:K02518	cty:CTR_3181
ko:K06960	cty:CTR_7671
ko:K00791	cty:CTR_7701
ko:K09710	cty:CTR_7731
ko:K09458	cty:CTR_7741
ko:K00263	cty:CTR_7771
ko:K00655	cty:CTR_7791
ko:K04066	cty:CTR_7821
ko:K04567	cty:CTR_7851
ko:K01883	cty:CTR_7861
ko:K03536	cty:CTR_7881
ko:K02914	cty:CTR_7891
ko:K02919	cty:CTR_7901
ko:K02954	cty:CTR_7911
ko:K03703	cty:CTR_7951
ko:K03555	cty:CTR_7961
ko:K14164	cty:CTR_8011
ko:K00995	cty:CTR_8021
ko:K00703	cty:CTR_8031
ko:K02897	cty:CTR_8041
ko:K01056	cty:CTR_8051
ko:K02990	cty:CTR_8061
ko:K02963	cty:CTR_8071
ko:K02939	cty:CTR_8081
ko:K00919	cty:CTR_8091
ko:K00630	cty:CTR_8121
ko:K08301	cty:CTR_8131
ko:K02911	cty:CTR_8161
ko:K03621	cty:CTR_8171
