ko:K02529	llt:CVCAS_1557
ko:K07444	llt:CVCAS_1561
ko:K02340	llt:CVCAS_1563
ko:K03466	llt:CVCAS_1565
ko:K00876	llt:CVCAS_1569
ko:K03648	llt:CVCAS_0216
ko:K02970	llt:CVCAS_0221
ko:K00927	llt:CVCAS_0226
ko:K05878	llt:CVCAS_0229
ko:K05879	llt:CVCAS_0230
ko:K02440	llt:CVCAS_0232
ko:K08659	llt:CVCAS_0233
ko:K06969	llt:CVCAS_0236
ko:K04041	llt:CVCAS_0238
ko:K07007	llt:CVCAS_0239
ko:K07173	llt:CVCAS_0248
ko:K01689	llt:CVCAS_0258
ko:K01866	llt:CVCAS_0368
ko:K06878	llt:CVCAS_0373
ko:K04078	llt:CVCAS_0376
ko:K04077	llt:CVCAS_0377
ko:K00943	llt:CVCAS_0381
ko:K02341	llt:CVCAS_0382
ko:K07056	llt:CVCAS_0385
ko:K04564	llt:CVCAS_0391
ko:K06200	llt:CVCAS_0392
ko:K02760	llt:CVCAS_0397
ko:K02759	llt:CVCAS_0398
ko:K02761	llt:CVCAS_0400
ko:K01223	llt:CVCAS_0401
ko:K01972	llt:CVCAS_0403
ko:K03737	llt:CVCAS_0406
ko:K03431	llt:CVCAS_0409
ko:K06925	llt:CVCAS_0417
ko:K01079	llt:CVCAS_0515
ko:K01512	llt:CVCAS_0516
ko:K03437	llt:CVCAS_0517
ko:K01265	llt:CVCAS_0521
ko:K07058	llt:CVCAS_0522
ko:K13292	llt:CVCAS_0528
ko:K03549	llt:CVCAS_0532
ko:K03549	llt:CVCAS_0533
ko:K00791	llt:CVCAS_0536
ko:K07124	llt:CVCAS_0541
ko:K07462	llt:CVCAS_0542
ko:K00759	llt:CVCAS_0543
ko:K07082	llt:CVCAS_0545
ko:K03624	llt:CVCAS_0546
ko:K03696	llt:CVCAS_0552
ko:K01689	llt:CVCAS_0554
ko:K02003	llt:CVCAS_0555
ko:K03284	llt:CVCAS_0560
ko:K00656	llt:CVCAS_0561
ko:K00859	llt:CVCAS_0562
ko:K02913	llt:CVCAS_0564
ko:K03588	llt:CVCAS_0565
ko:K03424	llt:CVCAS_0642
ko:K05985	llt:CVCAS_0644
ko:K02528	llt:CVCAS_0645
ko:K02356	llt:CVCAS_0647
ko:K03625	llt:CVCAS_0649
ko:K00705	llt:CVCAS_0650
ko:K00975	llt:CVCAS_0651
ko:K00975	llt:CVCAS_0652
ko:K00703	llt:CVCAS_0653
ko:K00688	llt:CVCAS_0654
ko:K03305	llt:CVCAS_0656
ko:K00425	llt:CVCAS_0657
ko:K00426	llt:CVCAS_0658
ko:K00648	llt:CVCAS_0734
ko:K02078	llt:CVCAS_0735
ko:K00645	llt:CVCAS_0736
ko:K09458	llt:CVCAS_0738
ko:K02160	llt:CVCAS_0739
ko:K02372	llt:CVCAS_0740
ko:K01961	llt:CVCAS_0742
ko:K01963	llt:CVCAS_0743
ko:K01962	llt:CVCAS_0744
ko:K01738	llt:CVCAS_0746
ko:K01142	llt:CVCAS_0755
ko:K01874	llt:CVCAS_0756
ko:K07118	llt:CVCAS_0761
ko:K00145	llt:CVCAS_0762
ko:K00620	llt:CVCAS_0763
ko:K00930	llt:CVCAS_0765
ko:K00611	llt:CVCAS_0766
ko:K03685	llt:CVCAS_0767
ko:K03529	llt:CVCAS_0768
ko:K03110	llt:CVCAS_0777
ko:K00948	llt:CVCAS_0778
ko:K01869	llt:CVCAS_0780
ko:K02761	llt:CVCAS_0782
ko:K01223	llt:CVCAS_0783
ko:K03885	llt:CVCAS_0786
ko:K03885	llt:CVCAS_0787
ko:K01938	llt:CVCAS_0899
ko:K00384	llt:CVCAS_0905
ko:K03075	llt:CVCAS_0906
ko:K12573	llt:CVCAS_0907
ko:K07166	llt:CVCAS_0912
ko:K09157	llt:CVCAS_0913
ko:K03705	llt:CVCAS_0918
ko:K03687	llt:CVCAS_0919
ko:K04043	llt:CVCAS_0920
ko:K02768	llt:CVCAS_0925
ko:K02769	llt:CVCAS_0925
ko:K02770	llt:CVCAS_0925
ko:K06131	llt:CVCAS_0926
ko:K06958	llt:CVCAS_0927
ko:K02836	llt:CVCAS_0937
ko:K09812	llt:CVCAS_0938
ko:K09811	llt:CVCAS_0939
ko:K08591	llt:CVCAS_0944
ko:K02622	llt:CVCAS_0946
ko:K02621	llt:CVCAS_0950
ko:K02916	llt:CVCAS_1779
ko:K02520	llt:CVCAS_1780
ko:K03495	llt:CVCAS_1784
ko:K11145	llt:CVCAS_1787
