ko:K05595	ccq:N149_1054
ko:K07305	ccq:N149_1055
ko:K17103	ccq:N149_1057
ko:K01613	ccq:N149_1058
ko:K03798	ccq:N149_1059
ko:K02687	ccq:N149_1060
ko:K03413	ccq:N149_1061
ko:K01784	ccq:N149_1072
ko:K07501	ccq:N149_1073
ko:K02841	ccq:N149_1074
ko:K02517	ccq:N149_1075
ko:K12452	ccq:N149_1080
ko:K02377	ccq:N149_1081
ko:K01652	ccq:N149_1082
ko:K01709	ccq:N149_1083
ko:K00978	ccq:N149_1084
ko:K12452	ccq:N149_1087
ko:K02377	ccq:N149_1088
ko:K02408	ccq:N149_0515
ko:K02388	ccq:N149_0516
ko:K02387	ccq:N149_0517
ko:K07082	ccq:N149_0518
ko:K00031	ccq:N149_0520
ko:K00024	ccq:N149_0521
ko:K01903	ccq:N149_0522
ko:K01902	ccq:N149_0523
ko:K00176	ccq:N149_0524
ko:K00174	ccq:N149_0525
ko:K00175	ccq:N149_0526
ko:K00177	ccq:N149_0527
ko:K02523	ccq:N149_0530
ko:K02492	ccq:N149_0531
ko:K01881	ccq:N149_0532
ko:K01649	ccq:N149_0533
ko:K01749	ccq:N149_0534
ko:K03182	ccq:N149_0535
ko:K06603	ccq:N149_0536
ko:K02407	ccq:N149_0537
ko:K02422	ccq:N149_0538
ko:K02356	ccq:N149_0540
ko:K00147	ccq:N149_0542
ko:K00384	ccq:N149_0543
ko:K05837	ccq:N149_0551
ko:K06180	ccq:N149_0552
ko:K03439	ccq:N149_0554
ko:K09812	ccq:N149_0555
ko:K09811	ccq:N149_0556
ko:K09903	ccq:N149_0558
ko:K03060	ccq:N149_0559
ko:K01866	ccq:N149_0561
ko:K00459	ccq:N149_0562
ko:K01448	ccq:N149_0563
ko:K03839	ccq:N149_1347
ko:K03781	ccq:N149_1350
ko:K03326	ccq:N149_1354
ko:K01760	ccq:N149_1355
ko:K01756	ccq:N149_1356
ko:K04758	ccq:N149_1358
ko:K04759	ccq:N149_1359
ko:K00208	ccq:N149_1361
ko:K01803	ccq:N149_1362
ko:K00927	ccq:N149_1363
ko:K00134	ccq:N149_1364
ko:K00969	ccq:N149_1365
ko:K09710	ccq:N149_1366
ko:K15778	ccq:N149_1368
ko:K02415	ccq:N149_1369
ko:K00997	ccq:N149_1370
ko:K07265	ccq:N149_1374
ko:K07266	ccq:N149_1375
ko:K00059	ccq:N149_1382
ko:K00067	ccq:N149_1390
ko:K01790	ccq:N149_1391
ko:K00973	ccq:N149_1392
ko:K06041	ccq:N149_1393
ko:K10107	ccq:N149_1395
ko:K09689	ccq:N149_1396
ko:K09688	ccq:N149_1397
ko:K01497	ccq:N149_0929
ko:K01977	ccq:N149_0029
ko:K14218	ccq:N149_0030
ko:K14218	ccq:N149_0690
ko:K14218	ccq:N149_0425
ko:K14227	ccq:N149_0031
ko:K14227	ccq:N149_0691
ko:K14227	ccq:N149_0426
ko:K01980	ccq:N149_0032
ko:K14230	ccq:N149_1242
ko:K14229	ccq:N149_0831
ko:K14229	ccq:N149_0834
ko:K14237	ccq:N149_0832
ko:K14237	ccq:N149_0836
ko:K14237	ccq:N149_1671
ko:K14221	ccq:N149_0833
ko:K14221	ccq:N149_0837
ko:K14224	ccq:N149_0835
ko:K14224	ccq:N149_1542
ko:K14220	ccq:N149_1177
ko:K14223	ccq:N149_1241
ko:K14231	ccq:N149_1243
ko:K14233	ccq:N149_1320
ko:K14226	ccq:N149_1621
ko:K00290	ccq:N149_1538
ko:K00567	ccq:N149_0776
ko:K01772	ccq:N149_0777
ko:K01874	ccq:N149_0778
ko:K03841	ccq:N149_0780
ko:K03753	ccq:N149_0781
ko:K08309	ccq:N149_0782
ko:K02221	ccq:N149_0783
ko:K01885	ccq:N149_0784
ko:K07098	ccq:N149_0785
ko:K01613	ccq:N149_0786
ko:K04061	ccq:N149_0787
ko:K01845	ccq:N149_0792
ko:K01491	ccq:N149_0794
ko:K03100	ccq:N149_0795
ko:K03711	ccq:N149_0796
ko:K09815	ccq:N149_0797
ko:K07107	ccq:N149_0804
ko:K02914	ccq:N149_0808
ko:K03536	ccq:N149_0809
ko:K03217	ccq:N149_0811
ko:K06346	ccq:N149_0812
ko:K03650	ccq:N149_0813
ko:K01952	ccq:N149_0814
ko:K05801	ccq:N149_0815
ko:K00602	ccq:N149_0816
ko:K03406	ccq:N149_0817
ko:K12251	ccq:N149_0821
ko:K03634	ccq:N149_0825
ko:K03070	ccq:N149_0826
ko:K02004	ccq:N149_0827
ko:K06143	ccq:N149_0828
ko:K02112	ccq:N149_1604
ko:K02115	ccq:N149_1605
ko:K02111	ccq:N149_1606
ko:K02113	ccq:N149_1607
ko:K02109	ccq:N149_1608
ko:K02109	ccq:N149_1609
ko:K03620	ccq:N149_0567
ko:K06187	ccq:N149_0569
ko:K02484	ccq:N149_0570
ko:K03686	ccq:N149_0572
ko:K03308	ccq:N149_0574
ko:K04084	ccq:N149_0576
ko:K13888	ccq:N149_0579
ko:K05685	ccq:N149_0580
ko:K09795	ccq:N149_0583
ko:K02217	ccq:N149_0585
ko:K02040	ccq:N149_0586
ko:K02037	ccq:N149_0587
ko:K02038	ccq:N149_0588
ko:K02036	ccq:N149_0589
ko:K07043	ccq:N149_0592
ko:K04656	ccq:N149_0594
ko:K04652	ccq:N149_0595
ko:K04653	ccq:N149_0596
ko:K04654	ccq:N149_0597
ko:K04655	ccq:N149_0598
ko:K04651	ccq:N149_0599
ko:K02340	ccq:N149_0600
ko:K12573	ccq:N149_0601
ko:K00053	ccq:N149_0602
ko:K09798	ccq:N149_0603
ko:K04096	ccq:N149_0604
ko:K07447	ccq:N149_0605
ko:K07304	ccq:N149_0607
ko:K01507	ccq:N149_0608
ko:K00939	ccq:N149_0609
ko:K01876	ccq:N149_0610
ko:K00858	ccq:N149_0611
ko:K03631	ccq:N149_0612
ko:K03424	ccq:N149_0614
ko:K08307	ccq:N149_0615
ko:K03642	ccq:N149_0616
ko:K09979	ccq:N149_1398
ko:K04075	ccq:N149_1402
ko:K02836	ccq:N149_1404
ko:K06176	ccq:N149_1406
ko:K00946	ccq:N149_1407
ko:K02394	ccq:N149_1411
ko:K02396	ccq:N149_1415
ko:K07090	ccq:N149_1417
ko:K02455	ccq:N149_1418
ko:K02454	ccq:N149_1419
ko:K01714	ccq:N149_1421
ko:K02453	ccq:N149_1422
ko:K01977	ccq:N149_0424
ko:K14219	ccq:N149_1619
ko:K14219	ccq:N149_0945
ko:K03524	ccq:N149_1612
ko:K00604	ccq:N149_1613
ko:K00931	ccq:N149_1617
ko:K01689	ccq:N149_1626
ko:K02420	ccq:N149_1629
ko:K00075	ccq:N149_1630
ko:K01082	ccq:N149_1633
ko:K01647	ccq:N149_1634
ko:K01012	ccq:N149_1636
ko:K03168	ccq:N149_1637
ko:K03076	ccq:N149_1639
ko:K02876	ccq:N149_1640
ko:K02988	ccq:N149_1641
ko:K02881	ccq:N149_1642
ko:K02933	ccq:N149_1643
ko:K02994	ccq:N149_1644
ko:K02954	ccq:N149_1645
ko:K02931	ccq:N149_1646
ko:K02895	ccq:N149_1647
ko:K02874	ccq:N149_1648
ko:K02961	ccq:N149_1649
ko:K02904	ccq:N149_1650
ko:K02878	ccq:N149_1651
ko:K02982	ccq:N149_1652
ko:K02890	ccq:N149_1653
ko:K02965	ccq:N149_1654
ko:K02886	ccq:N149_1655
ko:K02892	ccq:N149_1656
ko:K01142	ccq:N149_0247
ko:K03760	ccq:N149_0248
ko:K00901	ccq:N149_0249
ko:K01465	ccq:N149_0251
ko:K03406	ccq:N149_0254
ko:K00826	ccq:N149_0258
ko:K01821	ccq:N149_0259
ko:K03564	ccq:N149_0260
ko:K09765	ccq:N149_0261
ko:K02372	ccq:N149_0262
ko:K00677	ccq:N149_0263
ko:K03544	ccq:N149_0264
ko:K03569	ccq:N149_0265
ko:K03570	ccq:N149_0266
ko:K01908	ccq:N149_0268
ko:K03417	ccq:N149_0269
ko:K01720	ccq:N149_0271
ko:K01955	ccq:N149_0274
ko:K00616	ccq:N149_0276
ko:K01079	ccq:N149_0277
ko:K03408	ccq:N149_0278
ko:K03407	ccq:N149_0279
ko:K03415	ccq:N149_0280
