ko:K00769	clm:UPTC16712_0431
ko:K07812	clm:UPTC16712_0432
ko:K03406	clm:UPTC16712_0436
ko:K09861	clm:UPTC16712_0438
ko:K02358	clm:UPTC16712_0443
ko:K02913	clm:UPTC16712_0444
ko:K03073	clm:UPTC16712_0446
ko:K02601	clm:UPTC16712_0447
ko:K02867	clm:UPTC16712_0448
ko:K02863	clm:UPTC16712_0449
ko:K02864	clm:UPTC16712_0450
ko:K02935	clm:UPTC16712_0451
ko:K03043	clm:UPTC16712_0452
ko:K11103	clm:UPTC16712_1181
ko:K00824	clm:UPTC16712_1182
ko:K03438	clm:UPTC16712_1186
ko:K01628	clm:UPTC16712_1187
ko:K03770	clm:UPTC16712_1188
ko:K03590	clm:UPTC16712_1189
ko:K03531	clm:UPTC16712_1190
ko:K00763	clm:UPTC16712_1191
ko:K03526	clm:UPTC16712_1192
ko:K04066	clm:UPTC16712_1193
ko:K02456	clm:UPTC16712_1194
ko:K03702	clm:UPTC16712_1197
ko:K02356	clm:UPTC16712_1198
ko:K00058	clm:UPTC16712_1199
ko:K02945	clm:UPTC16712_1201
ko:K03527	clm:UPTC16712_1202
ko:K00800	clm:UPTC16712_1203
ko:K01890	clm:UPTC16712_1204
ko:K01889	clm:UPTC16712_1205
ko:K02503	clm:UPTC16712_1206
ko:K01610	clm:UPTC16712_1207
ko:K01960	clm:UPTC16712_1208
ko:K03308	clm:UPTC16712_1209
ko:K03308	clm:UPTC16712_1210
ko:K03308	clm:UPTC16712_1211
ko:K02110	clm:UPTC16712_1212
ko:K03406	clm:UPTC16712_1215
ko:K01465	clm:UPTC16712_1216
ko:K00057	clm:UPTC16712_1217
ko:K02434	clm:UPTC16712_1218
ko:K02108	clm:UPTC16712_1219
ko:K04485	clm:UPTC16712_1221
ko:K03110	clm:UPTC16712_1222
ko:K01934	clm:UPTC16712_1224
ko:K18682	clm:UPTC16712_1225
ko:K02238	clm:UPTC16712_1227
ko:K03536	clm:UPTC16712_0556
ko:K02914	clm:UPTC16712_0557
ko:K07107	clm:UPTC16712_0561
ko:K03673	clm:UPTC16712_0563
ko:K03673	clm:UPTC16712_0564
ko:K03611	clm:UPTC16712_0565
ko:K07792	clm:UPTC16712_0567
ko:K01270	clm:UPTC16712_0568
ko:K15257	clm:UPTC16712_0572
ko:K02406	clm:UPTC16712_0573
ko:K02493	clm:UPTC16712_0575
ko:K06013	clm:UPTC16712_0576
ko:K15738	clm:UPTC16712_0577
ko:K07098	clm:UPTC16712_0578
ko:K01613	clm:UPTC16712_0579
ko:K04061	clm:UPTC16712_0580
ko:K01845	clm:UPTC16712_0585
ko:K01491	clm:UPTC16712_0587
ko:K03100	clm:UPTC16712_0588
ko:K00812	clm:UPTC16712_0589
ko:K00773	clm:UPTC16712_0590
ko:K01959	clm:UPTC16712_0593
ko:K03686	clm:UPTC16712_0596
ko:K03588	clm:UPTC16712_0597
ko:K02030	clm:UPTC16712_0598
ko:K06921	clm:UPTC16712_0600
ko:K03216	clm:UPTC16712_0603
ko:K02028	clm:UPTC16712_0604
ko:K02029	clm:UPTC16712_0605
ko:K00940	clm:UPTC16712_1327
ko:K02911	clm:UPTC16712_1329
ko:K03621	clm:UPTC16712_1330
ko:K00648	clm:UPTC16712_1331
ko:K02557	clm:UPTC16712_1332
ko:K02556	clm:UPTC16712_1333
ko:K08173	clm:UPTC16712_1335
ko:K01696	clm:UPTC16712_1338
ko:K03701	clm:UPTC16712_1341
ko:K00831	clm:UPTC16712_1342
ko:K03601	clm:UPTC16712_1343
ko:K03183	clm:UPTC16712_1344
ko:K09825	clm:UPTC16712_1346
ko:K01662	clm:UPTC16712_1347
ko:K02411	clm:UPTC16712_1348
ko:K02410	clm:UPTC16712_1349
ko:K02409	clm:UPTC16712_1350
ko:K00817	clm:UPTC16712_1351
ko:K14170	clm:UPTC16712_1352
ko:K02566	clm:UPTC16712_1353
ko:K01586	clm:UPTC16712_1354
ko:K11720	clm:UPTC16712_1355
ko:K01056	clm:UPTC16712_1356
ko:K02897	clm:UPTC16712_1357
ko:K00616	clm:UPTC16712_1358
ko:K01079	clm:UPTC16712_1359
ko:K03408	clm:UPTC16712_1360
ko:K03407	clm:UPTC16712_1361
ko:K02029	clm:UPTC16712_0703
ko:K02029	clm:UPTC16712_0704
ko:K02028	clm:UPTC16712_0705
ko:K02030	clm:UPTC16712_0706
ko:K09944	clm:UPTC16712_0711
ko:K01735	clm:UPTC16712_0712
ko:K03831	clm:UPTC16712_0716
ko:K04079	clm:UPTC16712_0718
ko:K06199	clm:UPTC16712_0719
ko:K00655	clm:UPTC16712_0720
ko:K01952	clm:UPTC16712_0722
ko:K01952	clm:UPTC16712_0723
ko:K01923	clm:UPTC16712_0724
ko:K03797	clm:UPTC16712_0725
ko:K03695	clm:UPTC16712_0726
ko:K05927	clm:UPTC16712_0727
ko:K05922	clm:UPTC16712_0728
ko:K03620	clm:UPTC16712_0729
ko:K03415	clm:UPTC16712_1362
ko:K03269	clm:UPTC16712_1363
ko:K03624	clm:UPTC16712_1364
ko:K00748	clm:UPTC16712_1365
ko:K01258	clm:UPTC16712_1369
ko:K03326	clm:UPTC16712_1370
ko:K05995	clm:UPTC16712_1371
ko:K03605	clm:UPTC16712_0730
ko:K01885	clm:UPTC16712_0732
ko:K02221	clm:UPTC16712_0733
ko:K08309	clm:UPTC16712_0734
ko:K03753	clm:UPTC16712_0736
ko:K03841	clm:UPTC16712_0737
ko:K01874	clm:UPTC16712_0739
ko:K01772	clm:UPTC16712_0740
ko:K06920	clm:UPTC16712_0743
ko:K07042	clm:UPTC16712_0744
ko:K08296	clm:UPTC16712_0750
