ko:K07277	cpsn:B712_0527
ko:K06187	cpsn:B712_0528
ko:K01627	cpsn:B712_0025
ko:K06960	cpsn:B712_0027
ko:K00981	cpsn:B712_0198
ko:K00806	cpsn:B712_0199
ko:K12257	cpsn:B712_0203
ko:K07462	cpsn:B712_0204
ko:K03797	cpsn:B712_0213
ko:K02950	cpsn:B712_0218
ko:K02992	cpsn:B712_0219
ko:K02355	cpsn:B712_0220
ko:K02946	cpsn:B712_0221
ko:K01770	cpsn:B712_0223
ko:K00648	cpsn:B712_0529
ko:K00645	cpsn:B712_0530
ko:K02078	cpsn:B712_0532
ko:K03308	cpsn:B712_0537
ko:K06213	cpsn:B712_0542
ko:K02071	cpsn:B712_0547
ko:K02072	cpsn:B712_0548
ko:K02073	cpsn:B712_0549
ko:K02470	cpsn:B712_0552
ko:K02469	cpsn:B712_0553
ko:K00943	cpsn:B712_0554
ko:K02888	cpsn:B712_0226
ko:K02899	cpsn:B712_0227
ko:K03979	cpsn:B712_0228
ko:K09817	cpsn:B712_0229
ko:K00788	cpsn:B712_0232
ko:K00878	cpsn:B712_0233
ko:K03310	cpsn:B712_0238
ko:K03101	cpsn:B712_0239
ko:K06204	cpsn:B712_0240
ko:K07738	cpsn:B712_0241
ko:K00793	cpsn:B712_0242
ko:K06969	cpsn:B712_0243
ko:K03437	cpsn:B712_0244
ko:K00912	cpsn:B712_0245
ko:K00658	cpsn:B712_0247
ko:K06041	cpsn:B712_0248
ko:K07164	cpsn:B712_0249
ko:K02343	cpsn:B712_0555
ko:K00600	cpsn:B712_0253
ko:K01358	cpsn:B712_0254
ko:K01778	cpsn:B712_0255
ko:K03183	cpsn:B712_0257
ko:K07042	cpsn:B712_0264
ko:K03652	cpsn:B712_0268
ko:K12573	cpsn:B712_0269
ko:K04043	cpsn:B712_0270
ko:K03687	cpsn:B712_0271
ko:K03705	cpsn:B712_0272
ko:K01881	cpsn:B712_0273
ko:K09131	cpsn:B712_0276
ko:K10206	cpsn:B712_0278
ko:K06966	cpsn:B712_0281
ko:K09996	cpsn:B712_0291
ko:K06167	cpsn:B712_0293
ko:K03665	cpsn:B712_0294
ko:K02435	cpsn:B712_0319
ko:K02434	cpsn:B712_0322
ko:K06888	cpsn:B712_0334
ko:K02528	cpsn:B712_0336
ko:K01662	cpsn:B712_0338
ko:K09779	cpsn:B712_0317
ko:K03602	cpsn:B712_0340
ko:K03601	cpsn:B712_0341
