ko:K06023	tpp:TPASS_0591
ko:K00939	tpp:TPASS_0595
ko:K00099	tpp:TPASS_0601
ko:K02557	tpp:TPASS_0724
ko:K02556	tpp:TPASS_0725
ko:K02385	tpp:TPASS_0726
ko:K02390	tpp:TPASS_0727
ko:K02389	tpp:TPASS_0728
ko:K00995	tpp:TPASS_0730
ko:K03784	tpp:TPASS_0734
ko:K00266	tpp:TPASS_0735
ko:K00528	tpp:TPASS_0736
ko:K09710	tpp:TPASS_0738
ko:K00969	tpp:TPASS_0741
ko:K02899	tpp:TPASS_0743
ko:K07584	tpp:TPASS_0744
ko:K02888	tpp:TPASS_0745
ko:K01006	tpp:TPASS_0746
ko:K02806	tpp:TPASS_0755
ko:K00604	tpp:TPASS_0756
ko:K01462	tpp:TPASS_0757
ko:K02970	tpp:TPASS_0758
ko:K03798	tpp:TPASS_0765
ko:K02355	tpp:TPASS_0767
ko:K07507	tpp:TPASS_0774
ko:K10773	tpp:TPASS_0775
ko:K02428	tpp:TPASS_0778
ko:K09815	tpp:TPASS_0034
ko:K09817	tpp:TPASS_0035
ko:K09816	tpp:TPASS_0036
ko:K03778	tpp:TPASS_0037
ko:K07035	tpp:TPASS_0038
ko:K03495	tpp:TPASS_0044
ko:K09770	tpp:TPASS_0047
ko:K07101	tpp:TPASS_0050
ko:K02835	tpp:TPASS_0051
ko:K00525	tpp:TPASS_1008
ko:K02493	tpp:TPASS_0052
ko:K00057	tpp:TPASS_1009
ko:K00940	tpp:TPASS_1010
ko:K04078	tpp:TPASS_1013
ko:K03625	tpp:TPASS_1015
ko:K01872	tpp:TPASS_1017
ko:K02435	tpp:TPASS_1019
ko:K02433	tpp:TPASS_1020
ko:K02434	tpp:TPASS_1021
ko:K04485	tpp:TPASS_1022
ko:K03565	tpp:TPASS_1023
ko:K02996	tpp:TPASS_1024
ko:K02871	tpp:TPASS_1025
ko:K00757	tpp:TPASS_1027
ko:K03657	tpp:TPASS_1028
ko:K07001	tpp:TPASS_1033
ko:K07301	tpp:TPASS_1034
ko:K01873	tpp:TPASS_1035
ko:K11068	tpp:TPASS_1037
ko:K04047	tpp:TPASS_1038
ko:K00759	tpp:TPASS_1039
ko:K06861	tpp:TPASS_0786
ko:K02406	tpp:TPASS_0792
ko:K00789	tpp:TPASS_0794
ko:K03734	tpp:TPASS_0796
ko:K00286	tpp:TPASS_0797
ko:K07258	tpp:TPASS_0800
ko:K03694	tpp:TPASS_0801
ko:K06213	tpp:TPASS_0917
ko:K03671	tpp:TPASS_0919
ko:K06959	tpp:TPASS_0924
ko:K03100	tpp:TPASS_0926
ko:K01928	tpp:TPASS_0933
ko:K07095	tpp:TPASS_0937
ko:K03737	tpp:TPASS_0939
ko:K02422	tpp:TPASS_0943
