ko:K02535	nmq:NMBM04240196_0017
ko:K01874	nmq:NMBM04240196_0026
ko:K00820	nmq:NMBM04240196_0027
ko:K08304	nmq:NMBM04240196_0029
ko:K07243	nmq:NMBM04240196_0030
ko:K07224	nmq:NMBM04240196_0031
ko:K06193	nmq:NMBM04240196_0033
ko:K04042	nmq:NMBM04240196_0034
ko:K02064	nmq:NMBM04240196_0036
ko:K12267	nmq:NMBM04240196_0039
ko:K03110	nmq:NMBM04240196_0040
ko:K07461	nmq:NMBM04240196_0041
ko:K03575	nmq:NMBM04240196_0810
ko:K01625	nmq:NMBM04240196_0812
ko:K01690	nmq:NMBM04240196_0813
ko:K00036	nmq:NMBM04240196_0814
ko:K01057	nmq:NMBM04240196_0815
ko:K01810	nmq:NMBM04240196_0818
ko:K02469	nmq:NMBM04240196_0821
ko:K04082	nmq:NMBM04240196_0822
ko:K09890	nmq:NMBM04240196_0823
ko:K04487	nmq:NMBM04240196_0827
ko:K13643	nmq:NMBM04240196_0828
ko:K02834	nmq:NMBM04240196_0833
ko:K03544	nmq:NMBM04240196_0834
ko:K06969	nmq:NMBM04240196_0839
ko:K03671	nmq:NMBM04240196_0840
ko:K03601	nmq:NMBM04240196_0843
ko:K06178	nmq:NMBM04240196_0845
ko:K00275	nmq:NMBM04240196_0846
ko:K02434	nmq:NMBM04240196_0849
ko:K09824	nmq:NMBM04240196_0850
ko:K02435	nmq:NMBM04240196_0852
ko:K08324	nmq:NMBM04240196_0854
ko:K02437	nmq:NMBM04240196_1590
ko:K00605	nmq:NMBM04240196_1591
ko:K09941	nmq:NMBM04240196_1593
ko:K09790	nmq:NMBM04240196_1594
ko:K00346	nmq:NMBM04240196_1596
ko:K00347	nmq:NMBM04240196_1597
ko:K00348	nmq:NMBM04240196_1598
ko:K00349	nmq:NMBM04240196_1599
ko:K00350	nmq:NMBM04240196_1600
ko:K00351	nmq:NMBM04240196_1601
ko:K03734	nmq:NMBM04240196_1604
ko:K05952	nmq:NMBM04240196_1605
ko:K00640	nmq:NMBM04240196_1606
ko:K03688	nmq:NMBM04240196_1607
ko:K15724	nmq:NMBM04240196_1609
ko:K04043	nmq:NMBM04240196_1612
ko:K04066	nmq:NMBM04240196_1614
ko:K03981	nmq:NMBM04240196_1615
ko:K05685	nmq:NMBM04240196_1616
ko:K13888	nmq:NMBM04240196_1617
ko:K02655	nmq:NMBM04240196_1618
ko:K03529	nmq:NMBM04240196_1620
ko:K03269	nmq:NMBM04240196_1621
ko:K03303	nmq:NMBM04240196_1622
ko:K01749	nmq:NMBM04240196_1626
ko:K07042	nmq:NMBM04240196_1627
ko:K06189	nmq:NMBM04240196_1628
ko:K03315	nmq:NMBM04240196_1629
ko:K02429	nmq:NMBM04240196_1630
