ko:K00991	mtuc:J113_25085
ko:K07736	mtuc:J113_25090
ko:K01673	mtuc:J113_25125
ko:K03575	mtuc:J113_25130
ko:K03696	mtuc:J113_25180
ko:K04567	mtuc:J113_25195
ko:K03525	mtuc:J113_25200
ko:K01579	mtuc:J113_25205
ko:K00950	mtuc:J113_25240
ko:K01633	mtuc:J113_25245
ko:K00796	mtuc:J113_25250
ko:K01495	mtuc:J113_25255
ko:K09807	mtuc:J113_25335
ko:K00760	mtuc:J113_25340
ko:K07259	mtuc:J113_25350
ko:K09799	mtuc:J113_25360
ko:K04095	mtuc:J113_25430
ko:K02341	mtuc:J113_25450
ko:K03168	mtuc:J113_25470
ko:K03704	mtuc:J113_25485
ko:K15581	mtuc:J113_25610
ko:K15580	mtuc:J113_25615
ko:K01895	mtuc:J113_25620
ko:K10773	mtuc:J113_25660
ko:K09117	mtuc:J113_25755
ko:K03924	mtuc:J113_25780
ko:K00864	mtuc:J113_25805
ko:K07008	mtuc:J113_25835
ko:K01919	mtuc:J113_25855
ko:K00928	mtuc:J113_25880
ko:K01649	mtuc:J113_25885
ko:K06187	mtuc:J113_25930
ko:K09747	mtuc:J113_25935
ko:K01448	mtuc:J113_25940
ko:K00574	mtuc:J113_25955
ko:K02343	mtuc:J113_25960
ko:K00995	mtuc:J113_18235
ko:K01868	mtuc:J113_18245
ko:K14415	mtuc:J113_18345
ko:K09771	mtuc:J113_18405
ko:K06916	mtuc:J113_18575
ko:K00231	mtuc:J113_18625
ko:K09927	mtuc:J113_19160
ko:K01061	mtuc:J113_19175
ko:K07044	mtuc:J113_19255
ko:K00962	mtuc:J113_19300
ko:K06941	mtuc:J113_19965
ko:K00981	mtuc:J113_19970
ko:K02838	mtuc:J113_19975
ko:K09903	mtuc:J113_19985
ko:K02967	mtuc:J113_20025
ko:K03470	mtuc:J113_20110
ko:K03100	mtuc:J113_20115
ko:K00384	mtuc:J113_27345
ko:K03671	mtuc:J113_27350
ko:K03501	mtuc:J113_27375
ko:K03217	mtuc:J113_27385
ko:K08998	mtuc:J113_27390
ko:K03536	mtuc:J113_27395
ko:K02914	mtuc:J113_27400
ko:K00705	mtuc:J113_12380
ko:K03594	mtuc:J113_13005
ko:K01915	mtuc:J113_13020
ko:K07560	mtuc:J113_13120
ko:K08972	mtuc:J113_13165
ko:K03782	mtuc:J113_13195
ko:K01637	mtuc:J113_13245
ko:K09131	mtuc:J113_13675
ko:K05596	mtuc:J113_13680
ko:K06895	mtuc:J113_13685
ko:K07133	mtuc:J113_13865
ko:K03118	mtuc:J113_14485
ko:K03116	mtuc:J113_14490
ko:K03432	mtuc:J113_14615
ko:K03433	mtuc:J113_14620
ko:K11738	mtuc:J113_14740
ko:K00766	mtuc:J113_15220
ko:K02276	mtuc:J113_15230
ko:K02275	mtuc:J113_15265
ko:K01953	mtuc:J113_15270
ko:K00865	mtuc:J113_15295
ko:K02233	mtuc:J113_15320
ko:K00826	mtuc:J113_15330
ko:K00605	mtuc:J113_15335
ko:K01255	mtuc:J113_15355
ko:K00658	mtuc:J113_15375
ko:K03801	mtuc:J113_15390
ko:K03644	mtuc:J113_15395
ko:K01915	mtuc:J113_15415
ko:K14155	mtuc:J113_15935
ko:K09925	mtuc:J113_15940
ko:K04079	mtuc:J113_15960
ko:K02048	mtuc:J113_16705
ko:K03596	mtuc:J113_16730
ko:K02968	mtuc:J113_16770
ko:K09710	mtuc:J113_16830
ko:K00969	mtuc:J113_16835
ko:K00147	mtuc:J113_16865
ko:K01969	mtuc:J113_17410
ko:K01029	mtuc:J113_17415
ko:K07124	mtuc:J113_17450
ko:K13288	mtuc:J113_17470
ko:K03564	mtuc:J113_17540
ko:K00997	mtuc:J113_17560
ko:K11533	mtuc:J113_17625
ko:K01584	mtuc:J113_17675
ko:K01735	mtuc:J113_17730
ko:K01736	mtuc:J113_17740
ko:K02654	mtuc:J113_17815
ko:K07001	mtuc:J113_26020
ko:K06937	mtuc:J113_26025
ko:K09129	mtuc:J113_26075
ko:K09957	mtuc:J113_26215
ko:K05846	mtuc:J113_26220
ko:K05846	mtuc:J113_26225
ko:K05847	mtuc:J113_26235
ko:K05845	mtuc:J113_26240
ko:K00817	mtuc:J113_26330
ko:K15977	mtuc:J113_21350
ko:K06199	mtuc:J113_21380
ko:K06199	mtuc:J113_21385
ko:K01644	mtuc:J113_21425
ko:K03664	mtuc:J113_21640
ko:K09811	mtuc:J113_21645
ko:K09812	mtuc:J113_21650
ko:K02836	mtuc:J113_21665
ko:K03639	mtuc:J113_21690
ko:K03637	mtuc:J113_21700
ko:K03636	mtuc:J113_21705
ko:K03088	mtuc:J113_22475
ko:K06949	mtuc:J113_22525
ko:K07228	mtuc:J113_22570
ko:K00943	mtuc:J113_22655
ko:K00496	mtuc:J113_22685
ko:K01809	mtuc:J113_22700
ko:K00067	mtuc:J113_22795
ko:K01673	mtuc:J113_22850
ko:K01588	mtuc:J113_22860
ko:K03524	mtuc:J113_22890
ko:K03427	mtuc:J113_19130
ko:K02956	mtuc:J113_19310
ko:K06978	mtuc:J113_19410
ko:K15342	mtuc:J113_19515
ko:K02884	mtuc:J113_20120
ko:K00554	mtuc:J113_20135
ko:K02860	mtuc:J113_20140
ko:K06960	mtuc:J113_20145
ko:K02959	mtuc:J113_20150
ko:K03106	mtuc:J113_20190
