ko:K01739	lps:LPST_C2165
ko:K01607	lps:LPST_C2583
ko:K05846	lps:LPST_C1275
ko:K00942	lps:LPST_C1277
ko:K03060	lps:LPST_C1278
ko:K13038	lps:LPST_C1279
ko:K04066	lps:LPST_C1280
ko:K00604	lps:LPST_C1281
ko:K03091	lps:LPST_C0513
ko:K02913	lps:LPST_C0514
ko:K03073	lps:LPST_C0515
ko:K02601	lps:LPST_C0516
ko:K01657	lps:LPST_C1311
ko:K00766	lps:LPST_C1313
ko:K01609	lps:LPST_C1314
ko:K01817	lps:LPST_C1315
ko:K01696	lps:LPST_C1316
ko:K01695	lps:LPST_C1317
ko:K02372	lps:LPST_C1327
ko:K02761	lps:LPST_C0366
ko:K01223	lps:LPST_C0367
ko:K12410	lps:LPST_C0376
ko:K01874	lps:LPST_C0380
ko:K03424	lps:LPST_C0382
ko:K05985	lps:LPST_C0383
ko:K02528	lps:LPST_C0384
ko:K00919	lps:LPST_C0386
ko:K04042	lps:LPST_C0395
ko:K00948	lps:LPST_C0397
ko:K06885	lps:LPST_C0401
ko:K01937	lps:LPST_C0406
ko:K01875	lps:LPST_C0408
ko:K03837	lps:LPST_C0409
ko:K01752	lps:LPST_C0410
ko:K01752	lps:LPST_C0411
ko:K00790	lps:LPST_C0414
ko:K03628	lps:LPST_C0415
ko:K01779	lps:LPST_C1201
ko:K07015	lps:LPST_C1204
ko:K01056	lps:LPST_C0447
ko:K03723	lps:LPST_C0448
ko:K07571	lps:LPST_C0452
ko:K04075	lps:LPST_C0453
ko:K00760	lps:LPST_C0454
ko:K03798	lps:LPST_C0455
ko:K04083	lps:LPST_C0456
ko:K04567	lps:LPST_C0458
ko:K03305	lps:LPST_C0459
ko:K02888	lps:LPST_C1258
ko:K02899	lps:LPST_C1260
ko:K02356	lps:LPST_C1262
ko:K03625	lps:LPST_C1264
ko:K01491	lps:LPST_C1265
ko:K03601	lps:LPST_C1266
ko:K03602	lps:LPST_C1267
ko:K13789	lps:LPST_C1268
ko:K06442	lps:LPST_C1269
ko:K03402	lps:LPST_C1270
ko:K03631	lps:LPST_C1271
ko:K05847	lps:LPST_C1272
ko:K05846	lps:LPST_C1273
ko:K05845	lps:LPST_C1274
ko:K03657	lps:LPST_C0714
ko:K01951	lps:LPST_C0717
ko:K00850	lps:LPST_C1524
ko:K02337	lps:LPST_C1525
ko:K03695	lps:LPST_C1527
ko:K06967	lps:LPST_C1530
ko:K08659	lps:LPST_C0769
ko:K03654	lps:LPST_C0773
ko:K06180	lps:LPST_C0774
ko:K01928	lps:LPST_C0786
ko:K00928	lps:LPST_C0787
ko:K01953	lps:LPST_C0788
ko:K03086	lps:LPST_C1579
ko:K01879	lps:LPST_C1581
ko:K01878	lps:LPST_C1582
ko:K03584	lps:LPST_C1583
ko:K07042	lps:LPST_C1586
ko:K09117	lps:LPST_C1588
ko:K02970	lps:LPST_C1589
ko:K09773	lps:LPST_C1590
ko:K01151	lps:LPST_C1592
ko:K01876	lps:LPST_C1596
ko:K01892	lps:LPST_C1597
ko:K01448	lps:LPST_C1598
ko:K07560	lps:LPST_C1601
ko:K09761	lps:LPST_C1604
ko:K02687	lps:LPST_C1605
ko:K03652	lps:LPST_C1606
ko:K02003	lps:LPST_C2345
ko:K10773	lps:LPST_C2347
ko:K03100	lps:LPST_C2349
ko:K01462	lps:LPST_C2417
ko:K03734	lps:LPST_C2418
ko:K03182	lps:LPST_C2425
ko:K01689	lps:LPST_C1543
ko:K01091	lps:LPST_C1554
ko:K07693	lps:LPST_C1564
ko:K07778	lps:LPST_C1565
ko:K03827	lps:LPST_C1569
ko:K03817	lps:LPST_C2329
ko:K03596	lps:LPST_C1609
ko:K03740	lps:LPST_C1610
ko:K03739	lps:LPST_C1612
ko:K03367	lps:LPST_C1613
ko:K03686	lps:LPST_C1616
ko:K04043	lps:LPST_C1617
ko:K03687	lps:LPST_C1618
ko:K03705	lps:LPST_C1619
ko:K01575	lps:LPST_C1620
ko:K11753	lps:LPST_C1621
ko:K00891	lps:LPST_C1623
ko:K00800	lps:LPST_C1625
ko:K14155	lps:LPST_C2381
ko:K01421	lps:LPST_C2390
ko:K03701	lps:LPST_C2401
ko:K03483	lps:LPST_C0188
ko:K01524	lps:LPST_C0659
ko:K01524	lps:LPST_C0373
ko:K15051	lps:LPST_C0522
ko:K02867	lps:LPST_C0518
ko:K02863	lps:LPST_C0519
ko:K02864	lps:LPST_C0520
ko:K02935	lps:LPST_C0521
ko:K06966	lps:LPST_C0525
ko:K02343	lps:LPST_C0530
ko:K09747	lps:LPST_C0531
ko:K06187	lps:LPST_C0532
ko:K00943	lps:LPST_C0534
ko:K02037	lps:LPST_C0571
ko:K02038	lps:LPST_C0572
ko:K02036	lps:LPST_C0573
ko:K02036	lps:LPST_C0574
ko:K02039	lps:LPST_C0575
ko:K08972	lps:LPST_C0577
ko:K13292	lps:LPST_C0579
ko:K00057	lps:LPST_C0580
ko:K00963	lps:LPST_C0581
ko:K00384	lps:LPST_C0591
ko:K08641	lps:LPST_C0597
ko:K07023	lps:LPST_C0599
ko:K03702	lps:LPST_C0600
ko:K03701	lps:LPST_C0601
ko:K07173	lps:LPST_C0602
ko:K01940	lps:LPST_C0603
ko:K01755	lps:LPST_C0604
ko:K03648	lps:LPST_C0629
ko:K06925	lps:LPST_C0631
ko:K01142	lps:LPST_C0634
ko:K00820	lps:LPST_C0643
ko:K00864	lps:LPST_C0654
ko:K00937	lps:LPST_C0660
ko:K06901	lps:LPST_C0665
ko:K03524	lps:LPST_C0669
ko:K00075	lps:LPST_C0636
ko:K03431	lps:LPST_C0642
ko:K01867	lps:LPST_C0361
ko:K02761	lps:LPST_C0363
ko:K02909	lps:LPST_C0416
ko:K03744	lps:LPST_C0419
ko:K03799	lps:LPST_C0420
ko:K01929	lps:LPST_C0422
ko:K05592	lps:LPST_C0423
ko:K00997	lps:LPST_C0425
ko:K01775	lps:LPST_C0426
ko:K03549	lps:LPST_C0428
ko:K01955	lps:LPST_C0433
ko:K01956	lps:LPST_C0434
ko:K00145	lps:LPST_C0435
ko:K00620	lps:LPST_C0436
ko:K00930	lps:LPST_C0437
ko:K00611	lps:LPST_C0439
ko:K00286	lps:LPST_C0467
ko:K01443	lps:LPST_C0468
ko:K03710	lps:LPST_C0469
ko:K05946	lps:LPST_C0470
ko:K00763	lps:LPST_C0471
ko:K06959	lps:LPST_C0475
ko:K00003	lps:LPST_C0477
ko:K00872	lps:LPST_C0478
ko:K00648	lps:LPST_C0491
ko:K02160	lps:LPST_C0492
ko:K01961	lps:LPST_C0493
ko:K01963	lps:LPST_C0494
ko:K01962	lps:LPST_C0495
ko:K01807	lps:LPST_C0502
ko:K06975	lps:LPST_C0503
ko:K04485	lps:LPST_C0506
ko:K01883	lps:LPST_C0509
ko:K11145	lps:LPST_C0510
ko:K03218	lps:LPST_C0511
ko:K06962	lps:LPST_C0512
ko:K02341	lps:LPST_C0536
ko:K07056	lps:LPST_C0538
ko:K03430	lps:LPST_C0541
ko:K05306	lps:LPST_C0542
ko:K02042	lps:LPST_C0543
ko:K02042	lps:LPST_C0544
ko:K02041	lps:LPST_C0545
ko:K02044	lps:LPST_C0546
ko:K03789	lps:LPST_C0548
ko:K03789	lps:LPST_C0549
