ko:K01588	lmoo:LMOSLCC2378_1796
ko:K06950	lmoo:LMOSLCC2378_1798
ko:K02013	lmoo:LMOSLCC2378_1799
ko:K01142	lmoo:LMOSLCC2378_1803
ko:K02887	lmoo:LMOSLCC2378_1804
ko:K02916	lmoo:LMOSLCC2378_1805
ko:K03621	lmoo:LMOSLCC2378_1832
ko:K03655	lmoo:LMOSLCC2378_1834
ko:K01752	lmoo:LMOSLCC2378_1835
ko:K01752	lmoo:LMOSLCC2378_1836
ko:K02902	lmoo:LMOSLCC2378_1839
ko:K00655	lmoo:LMOSLCC2378_1665
ko:K02357	lmoo:LMOSLCC2378_1675
ko:K02967	lmoo:LMOSLCC2378_1676
ko:K07106	lmoo:LMOSLCC2378_1679
ko:K03565	lmoo:LMOSLCC2378_1714
ko:K07071	lmoo:LMOSLCC2378_1715
ko:K14205	lmoo:LMOSLCC2378_1716
ko:K03790	lmoo:LMOSLCC2378_1719
ko:K07058	lmoo:LMOSLCC2378_1728
ko:K01265	lmoo:LMOSLCC2378_1731
ko:K03839	lmoo:LMOSLCC2378_1732
ko:K03569	lmoo:LMOSLCC2378_1735
ko:K01783	lmoo:LMOSLCC2378_1841
ko:K06949	lmoo:LMOSLCC2378_1842
ko:K03500	lmoo:LMOSLCC2378_1845
ko:K00604	lmoo:LMOSLCC2378_1846
ko:K04066	lmoo:LMOSLCC2378_1847
ko:K13038	lmoo:LMOSLCC2378_1848
ko:K03060	lmoo:LMOSLCC2378_1849
ko:K00942	lmoo:LMOSLCC2378_1850
ko:K01869	lmoo:LMOSLCC2378_1681
ko:K07139	lmoo:LMOSLCC2378_1682
ko:K01953	lmoo:LMOSLCC2378_1684
ko:K00789	lmoo:LMOSLCC2378_1685
ko:K01845	lmoo:LMOSLCC2378_1706
ko:K10780	lmoo:LMOSLCC2378_1709
ko:K03575	lmoo:LMOSLCC2378_1710
ko:K07038	lmoo:LMOSLCC2378_1711
ko:K02759	lmoo:LMOSLCC2378_1740
ko:K02760	lmoo:LMOSLCC2378_1741
ko:K02529	lmoo:LMOSLCC2378_1748
ko:K13919	lmoo:LMOSLCC2378_1158
ko:K13920	lmoo:LMOSLCC2378_1159
ko:K04024	lmoo:LMOSLCC2378_1165
ko:K13922	lmoo:LMOSLCC2378_1169
ko:K02440	lmoo:LMOSLCC2378_1172
ko:K00925	lmoo:LMOSLCC2378_1173
ko:K02818	lmoo:LMOSLCC2378_1270
ko:K02819	lmoo:LMOSLCC2378_1270
ko:K00147	lmoo:LMOSLCC2378_1274
ko:K00931	lmoo:LMOSLCC2378_1275
ko:K03545	lmoo:LMOSLCC2378_1282
ko:K03544	lmoo:LMOSLCC2378_1283
ko:K03100	lmoo:LMOSLCC2378_1284
ko:K03100	lmoo:LMOSLCC2378_1285
ko:K03100	lmoo:LMOSLCC2378_1286
ko:K14540	lmoo:LMOSLCC2378_1287
ko:K03470	lmoo:LMOSLCC2378_1288
ko:K04096	lmoo:LMOSLCC2378_1289
ko:K03168	lmoo:LMOSLCC2378_1290
ko:K04094	lmoo:LMOSLCC2378_1291
ko:K03733	lmoo:LMOSLCC2378_1292
ko:K01419	lmoo:LMOSLCC2378_1293
ko:K03667	lmoo:LMOSLCC2378_1294
ko:K01462	lmoo:LMOSLCC2378_1069
