ko:K12410	amae:I876_10530
ko:K11065	amae:I876_10540
ko:K09862	amae:I876_14640
ko:K03070	amae:I876_14655
ko:K02535	amae:I876_14665
ko:K03531	amae:I876_14670
ko:K03590	amae:I876_14675
ko:K03589	amae:I876_14680
ko:K01921	amae:I876_14685
ko:K01924	amae:I876_14690
ko:K02563	amae:I876_14695
ko:K03588	amae:I876_14700
ko:K01925	amae:I876_14705
ko:K01000	amae:I876_14710
ko:K01929	amae:I876_14715
ko:K01928	amae:I876_14720
ko:K03587	amae:I876_14725
ko:K03586	amae:I876_14730
ko:K03438	amae:I876_14735
ko:K03925	amae:I876_14740
ko:K01273	amae:I876_14755
ko:K16872	amae:I876_14825
ko:K09761	amae:I876_14855
ko:K01920	amae:I876_14860
ko:K07735	amae:I876_14865
ko:K07447	amae:I876_14870
ko:K02670	amae:I876_14880
ko:K02669	amae:I876_14885
ko:K06997	amae:I876_14890
ko:K00286	amae:I876_14895
ko:K04760	amae:I876_19030
ko:K06959	amae:I876_19035
ko:K02170	amae:I876_19055
ko:K07400	amae:I876_19070
ko:K01779	amae:I876_19080
ko:K03327	amae:I876_19090
ko:K07152	amae:I876_19105
ko:K02259	amae:I876_19115
ko:K02276	amae:I876_19135
ko:K02275	amae:I876_19150
ko:K01356	amae:I876_19155
ko:K00631	amae:I876_19165
ko:K01754	amae:I876_19170
ko:K01687	amae:I876_19175
ko:K07391	amae:I876_19185
ko:K02521	amae:I876_19190
ko:K00053	amae:I876_19195
ko:K07552	amae:I876_19200
ko:K07278	amae:I876_19210
ko:K09800	amae:I876_19215
ko:K03088	amae:I876_19225
ko:K07107	amae:I876_19245
ko:K00931	amae:I876_19250
ko:K09986	amae:I876_19285
ko:K03579	amae:I876_02265
ko:K05365	amae:I876_02275
ko:K09781	amae:I876_02290
ko:K04752	amae:I876_02305
ko:K03320	amae:I876_02310
ko:K07223	amae:I876_02320
ko:K01845	amae:I876_02330
ko:K00609	amae:I876_02335
ko:K07678	amae:I876_02360
ko:K02621	amae:I876_02365
ko:K06447	amae:I876_02390
ko:K00673	amae:I876_02395
ko:K01867	amae:I876_02415
ko:K01783	amae:I876_02420
ko:K03112	amae:I876_02445
ko:K01735	amae:I876_02450
ko:K00891	amae:I876_02455
ko:K02666	amae:I876_02460
ko:K02662	amae:I876_02480
ko:K05366	amae:I876_02485
ko:K03781	amae:I876_02515
ko:K14682	amae:I876_02535
ko:K01755	amae:I876_02540
ko:K01935	amae:I876_06720
ko:K05995	amae:I876_06725
ko:K06074	amae:I876_06740
ko:K01626	amae:I876_06745
ko:K09954	amae:I876_06755
ko:K03639	amae:I876_06765
ko:K06938	amae:I876_06795
ko:K05541	amae:I876_06800
ko:K10804	amae:I876_06815
ko:K02003	amae:I876_06820
ko:K07071	amae:I876_06830
ko:K07589	amae:I876_06835
ko:K07637	amae:I876_06845
ko:K09780	amae:I876_06865
ko:K01695	amae:I876_06870
ko:K01696	amae:I876_06875
ko:K13498	amae:I876_06880
ko:K00766	amae:I876_06885
ko:K01657	amae:I876_06895
ko:K07053	amae:I876_06900
ko:K05896	amae:I876_06910
ko:K06024	amae:I876_06915
ko:K06178	amae:I876_06920
ko:K06222	amae:I876_06925
ko:K00432	amae:I876_11130
ko:K01118	amae:I876_11135
