ko:K03074	deb:DehaBAV1_0312
ko:K03072	deb:DehaBAV1_0313
ko:K00970	deb:DehaBAV1_0314
ko:K04066	deb:DehaBAV1_0316
ko:K02884	deb:DehaBAV1_0317
ko:K03925	deb:DehaBAV1_0319
ko:K03590	deb:DehaBAV1_0321
ko:K03531	deb:DehaBAV1_0322
ko:K00335	deb:DehaBAV1_0225
ko:K02039	deb:DehaBAV1_0228
ko:K02036	deb:DehaBAV1_0229
ko:K02038	deb:DehaBAV1_0230
ko:K02037	deb:DehaBAV1_0231
ko:K02040	deb:DehaBAV1_0232
ko:K02483	deb:DehaBAV1_0235
ko:K02500	deb:DehaBAV1_0958
ko:K11068	deb:DehaBAV1_0131
ko:K04485	deb:DehaBAV1_0052
ko:K07738	deb:DehaBAV1_0323
ko:K09117	deb:DehaBAV1_0328
ko:K02970	deb:DehaBAV1_0329
ko:K00981	deb:DehaBAV1_0354
ko:K02838	deb:DehaBAV1_0356
ko:K09903	deb:DehaBAV1_0357
ko:K02357	deb:DehaBAV1_0358
ko:K02967	deb:DehaBAV1_0359
ko:K06215	deb:DehaBAV1_0362
ko:K07056	deb:DehaBAV1_0366
ko:K03798	deb:DehaBAV1_0370
ko:K01151	deb:DehaBAV1_0371
ko:K09710	deb:DehaBAV1_0372
ko:K03466	deb:DehaBAV1_0416
ko:K03702	deb:DehaBAV1_0418
ko:K00334	deb:DehaBAV1_0423
ko:K02224	deb:DehaBAV1_0243
ko:K06282	deb:DehaBAV1_0257
ko:K06281	deb:DehaBAV1_0258
ko:K03752	deb:DehaBAV1_0269
ko:K00817	deb:DehaBAV1_0762
ko:K03501	deb:DehaBAV1_0702
ko:K00197	deb:DehaBAV1_0634
ko:K02503	deb:DehaBAV1_0432
ko:K01515	deb:DehaBAV1_0433
ko:K00858	deb:DehaBAV1_0435
ko:K04517	deb:DehaBAV1_0437
ko:K03856	deb:DehaBAV1_0445
ko:K02992	deb:DehaBAV1_0448
ko:K02355	deb:DehaBAV1_0449
ko:K02946	deb:DehaBAV1_0450
ko:K02926	deb:DehaBAV1_0452
