ko:K01657	banr:A16R_13190
ko:K01658	banr:A16R_13200
ko:K00766	banr:A16R_13210
ko:K01817	banr:A16R_13240
ko:K01696	banr:A16R_13250
ko:K01695	banr:A16R_13260
ko:K03303	banr:A16R_13280
ko:K09136	banr:A16R_13370
ko:K00658	banr:A16R_13390
ko:K00164	banr:A16R_13400
ko:K07729	banr:A16R_13410
ko:K01938	banr:A16R_21690
ko:K01759	banr:A16R_21730
ko:K03088	banr:A16R_21760
ko:K00432	banr:A16R_21820
ko:K03924	banr:A16R_21850
ko:K00370	banr:A16R_21880
ko:K00371	banr:A16R_21890
ko:K00373	banr:A16R_21900
ko:K00374	banr:A16R_21910
ko:K07979	banr:A16R_21920
ko:K01990	banr:A16R_21930
ko:K03639	banr:A16R_21960
ko:K03750	banr:A16R_21980
ko:K03635	banr:A16R_21990
ko:K03636	banr:A16R_22000
ko:K02575	banr:A16R_22010
ko:K07088	banr:A16R_22020
ko:K02304	banr:A16R_22040
ko:K13542	banr:A16R_22060
ko:K00363	banr:A16R_22070
ko:K00362	banr:A16R_22080
ko:K07322	banr:A16R_22090
ko:K00675	banr:A16R_22140
ko:K06416	banr:A16R_22170
ko:K03088	banr:A16R_30410
ko:K00116	banr:A16R_30450
ko:K10555	banr:A16R_30460
ko:K10556	banr:A16R_30490
ko:K10558	banr:A16R_30500
ko:K07145	banr:A16R_30600
ko:K16323	banr:A16R_30640
ko:K00147	banr:A16R_30650
ko:K00931	banr:A16R_30660
ko:K00286	banr:A16R_30670
ko:K02205	banr:A16R_30710
ko:K01077	banr:A16R_30740
ko:K07727	banr:A16R_30760
ko:K07706	banr:A16R_30800
ko:K07707	banr:A16R_30810
ko:K00876	banr:A16R_30820
ko:K01759	banr:A16R_30840
ko:K03924	banr:A16R_30880
ko:K03666	banr:A16R_38900
ko:K00791	banr:A16R_38910
ko:K02768	banr:A16R_38940
ko:K02769	banr:A16R_38940
ko:K02770	banr:A16R_38940
ko:K00882	banr:A16R_38950
ko:K03436	banr:A16R_38960
ko:K08976	banr:A16R_39000
ko:K11735	banr:A16R_39030
ko:K01183	banr:A16R_39040
ko:K07098	banr:A16R_39060
ko:K03530	banr:A16R_39080
ko:K17686	banr:A16R_39090
ko:K07213	banr:A16R_39100
ko:K07017	banr:A16R_39130
ko:K02013	banr:A16R_39140
ko:K02015	banr:A16R_39150
ko:K02015	banr:A16R_39160
ko:K02016	banr:A16R_39170
ko:K01142	banr:A16R_39190
ko:K13530	banr:A16R_39200
ko:K13531	banr:A16R_39210
ko:K01247	banr:A16R_39220
ko:K01258	banr:A16R_39230
ko:K01834	banr:A16R_39270
ko:K06518	banr:A16R_39360
ko:K07105	banr:A16R_47220
ko:K04518	banr:A16R_47240
ko:K02004	banr:A16R_47250
ko:K02004	banr:A16R_47260
ko:K02003	banr:A16R_47270
ko:K03979	banr:A16R_47310
ko:K06375	banr:A16R_47320
ko:K02899	banr:A16R_47330
ko:K07584	banr:A16R_47340
ko:K02888	banr:A16R_47350
ko:K08301	banr:A16R_47360
ko:K06402	banr:A16R_47370
ko:K06401	banr:A16R_47380
ko:K03609	banr:A16R_47390
ko:K03610	banr:A16R_47400
ko:K03571	banr:A16R_47410
ko:K03570	banr:A16R_47420
ko:K03569	banr:A16R_47430
ko:K03630	banr:A16R_47440
ko:K06287	banr:A16R_47450
ko:K11754	banr:A16R_47470
ko:K01873	banr:A16R_47480
ko:K06417	banr:A16R_47500
ko:K01845	banr:A16R_47510
ko:K01698	banr:A16R_47520
ko:K01719	banr:A16R_47530
ko:K01749	banr:A16R_47540
ko:K02497	banr:A16R_47550
ko:K02492	banr:A16R_47560
ko:K03978	banr:A16R_47590
ko:K01338	banr:A16R_47600
ko:K04076	banr:A16R_47610
ko:K03544	banr:A16R_47620
ko:K03545	banr:A16R_47630
ko:K07095	banr:A16R_47710
ko:K02250	banr:A16R_55660
ko:K02004	banr:A16R_55690
ko:K02003	banr:A16R_55700
ko:K02445	banr:A16R_55750
ko:K02012	banr:A16R_55760
ko:K01784	banr:A16R_55800
ko:K02372	banr:A16R_55820
ko:K01791	banr:A16R_55840
ko:K09693	banr:A16R_55850
ko:K02472	banr:A16R_55870
ko:K03569	banr:A16R_55950
ko:K06386	banr:A16R_55990
ko:K01990	banr:A16R_56020
ko:K01990	banr:A16R_56030
ko:K06381	banr:A16R_56040
ko:K00790	banr:A16R_56050
ko:K00343	banr:A16R_56080
ko:K00342	banr:A16R_56090
ko:K00341	banr:A16R_56100
ko:K00340	banr:A16R_56110
ko:K00339	banr:A16R_56120
ko:K01537	banr:A16R_04530
ko:K01104	banr:A16R_04550
ko:K07058	banr:A16R_04570
ko:K01534	banr:A16R_04580
ko:K08978	banr:A16R_04650
ko:K07300	banr:A16R_04680
ko:K01676	banr:A16R_04720
ko:K01247	banr:A16R_04750
ko:K13280	banr:A16R_13540
ko:K09607	banr:A16R_13600
ko:K00128	banr:A16R_13610
ko:K11072	banr:A16R_13620
ko:K11071	banr:A16R_13630
ko:K11070	banr:A16R_13640
ko:K11069	banr:A16R_13650
ko:K06180	banr:A16R_13690
ko:K11473	banr:A16R_13720
ko:K00104	banr:A16R_13730
ko:K02647	banr:A16R_13740
ko:K00782	banr:A16R_13810
ko:K02236	banr:A16R_13820
ko:K02598	banr:A16R_13850
ko:K06421	banr:A16R_13880
ko:K00023	banr:A16R_13930
ko:K03821	banr:A16R_13940
ko:K06950	banr:A16R_22230
ko:K15738	banr:A16R_22240
ko:K01887	banr:A16R_22350
ko:K01870	banr:A16R_22410
ko:K01929	banr:A16R_22440
ko:K03466	banr:A16R_22490
ko:K00865	banr:A16R_22690
ko:K01259	banr:A16R_22790
ko:K03762	banr:A16R_30910
ko:K03781	banr:A16R_31000
ko:K01486	banr:A16R_31020
ko:K03924	banr:A16R_31080
ko:K07979	banr:A16R_31200
ko:K05281	banr:A16R_31210
ko:K02003	banr:A16R_31220
ko:K02004	banr:A16R_31230
ko:K02004	banr:A16R_31240
ko:K13652	banr:A16R_31270
ko:K03574	banr:A16R_31300
ko:K09768	banr:A16R_31330
ko:K00876	banr:A16R_31400
ko:K01771	banr:A16R_39410
ko:K01449	banr:A16R_39440
ko:K07137	banr:A16R_39450
ko:K01442	banr:A16R_39500
ko:K03572	banr:A16R_39560
ko:K03555	banr:A16R_39570
ko:K06328	banr:A16R_39580
ko:K06168	banr:A16R_39600
ko:K00175	banr:A16R_39610
ko:K00174	banr:A16R_39620
ko:K01273	banr:A16R_39630
ko:K06416	banr:A16R_39640
ko:K09769	banr:A16R_39650
ko:K00995	banr:A16R_39700
ko:K00059	banr:A16R_39740
ko:K02057	banr:A16R_39780
ko:K07335	banr:A16R_39820
ko:K03710	banr:A16R_39830
ko:K03466	banr:A16R_39840
ko:K12574	banr:A16R_39870
ko:K01714	banr:A16R_39880
ko:K00928	banr:A16R_39890
ko:K00133	banr:A16R_39900
ko:K02428	banr:A16R_47720
ko:K00989	banr:A16R_47730
ko:K06298	banr:A16R_47750
ko:K01776	banr:A16R_47760
ko:K01994	banr:A16R_47830
ko:K02035	banr:A16R_47880
ko:K02034	banr:A16R_47890
ko:K02033	banr:A16R_47900
ko:K06188	banr:A16R_48000
ko:K01992	banr:A16R_48020
ko:K01990	banr:A16R_48030
ko:K02556	banr:A16R_48070
ko:K07107	banr:A16R_48090
ko:K00240	banr:A16R_48100
ko:K00241	banr:A16R_48130
ko:K03703	banr:A16R_48150
ko:K03671	banr:A16R_48160
ko:K03522	banr:A16R_48170
ko:K03521	banr:A16R_48180
ko:K13767	banr:A16R_48190
ko:K13770	banr:A16R_48200
ko:K01897	banr:A16R_48210
ko:K00338	banr:A16R_56130
ko:K00337	banr:A16R_56140
ko:K00333	banr:A16R_56150
ko:K00332	banr:A16R_56160
ko:K00331	banr:A16R_56170
ko:K00330	banr:A16R_56180
ko:K02114	banr:A16R_56220
ko:K02115	banr:A16R_56250
ko:K02111	banr:A16R_56260
ko:K02113	banr:A16R_56270
ko:K02109	banr:A16R_56280
ko:K02110	banr:A16R_56290
ko:K02108	banr:A16R_56300
ko:K02116	banr:A16R_56310
ko:K00761	banr:A16R_56340
ko:K00600	banr:A16R_56350
ko:K01808	banr:A16R_56370
ko:K15977	banr:A16R_56400
ko:K07566	banr:A16R_56450
ko:K02493	banr:A16R_56490
ko:K02835	banr:A16R_56500
ko:K02909	banr:A16R_56520
ko:K03628	banr:A16R_56530
ko:K02446	banr:A16R_56540
ko:K01624	banr:A16R_56570
ko:K02490	banr:A16R_56580
ko:K01937	banr:A16R_56600
ko:K03048	banr:A16R_56610
ko:K06173	banr:A16R_05330
ko:K06714	banr:A16R_05350
ko:K01425	banr:A16R_05430
ko:K02803	banr:A16R_05450
ko:K02804	banr:A16R_05450
ko:K01784	banr:A16R_05520
ko:K00656	banr:A16R_05540
ko:K04069	banr:A16R_05550
ko:K07071	banr:A16R_05600
ko:K03565	banr:A16R_05610
ko:K06428	banr:A16R_05640
ko:K07038	banr:A16R_05660
ko:K02012	banr:A16R_13990
ko:K02011	banr:A16R_14020
ko:K05306	banr:A16R_14030
ko:K03430	banr:A16R_14040
ko:K09798	banr:A16R_14140
ko:K13532	banr:A16R_14160
ko:K15973	banr:A16R_14170
ko:K07697	banr:A16R_14210
