ko:K02034	saui:AZ30_04730
ko:K01867	saui:AZ30_04735
ko:K16509	saui:AZ30_04740
ko:K16511	saui:AZ30_04745
ko:K08602	saui:AZ30_04755
ko:K06886	saui:AZ30_04765
ko:K07816	saui:AZ30_04780
ko:K00858	saui:AZ30_04785
ko:K06180	saui:AZ30_04790
ko:K06213	saui:AZ30_04795
ko:K03455	saui:AZ30_04800
ko:K00208	saui:AZ30_04805
ko:K03310	saui:AZ30_04815
ko:K05362	saui:AZ30_04840
ko:K08998	saui:AZ30_09075
ko:K02549	saui:AZ30_09080
ko:K01911	saui:AZ30_09085
ko:K01154	saui:AZ30_09155
ko:K03427	saui:AZ30_09160
ko:K07002	saui:AZ30_09305
ko:K00231	saui:AZ30_09310
ko:K01772	saui:AZ30_09315
ko:K01599	saui:AZ30_09320
ko:K01992	saui:AZ30_09330
ko:K01990	saui:AZ30_09335
ko:K02503	saui:AZ30_09340
ko:K02926	saui:AZ30_11880
ko:K02906	saui:AZ30_11885
ko:K02946	saui:AZ30_11890
ko:K06901	saui:AZ30_11900
ko:K05340	saui:AZ30_11915
ko:K07088	saui:AZ30_11920
ko:K11693	saui:AZ30_11940
ko:K03639	saui:AZ30_11970
ko:K03752	saui:AZ30_11975
ko:K03636	saui:AZ30_11980
ko:K03635	saui:AZ30_11985
ko:K03753	saui:AZ30_11990
ko:K03750	saui:AZ30_11995
ko:K03637	saui:AZ30_12000
ko:K03638	saui:AZ30_12005
ko:K02017	saui:AZ30_12015
ko:K02018	saui:AZ30_12020
ko:K02020	saui:AZ30_12025
ko:K02379	saui:AZ30_12030
ko:K03523	saui:AZ30_12040
ko:K02016	saui:AZ30_12050
ko:K08717	saui:AZ30_12060
ko:K01430	saui:AZ30_12065
ko:K01429	saui:AZ30_12070
ko:K01428	saui:AZ30_12075
ko:K03187	saui:AZ30_12080
ko:K03188	saui:AZ30_12085
ko:K03189	saui:AZ30_12090
ko:K03190	saui:AZ30_12095
ko:K03315	saui:AZ30_12125
ko:K09940	saui:AZ30_12135
ko:K03307	saui:AZ30_01615
ko:K01639	saui:AZ30_01620
ko:K01788	saui:AZ30_01635
ko:K03800	saui:AZ30_01680
ko:K03475	saui:AZ30_01690
ko:K02822	saui:AZ30_01695
ko:K02821	saui:AZ30_01700
ko:K02445	saui:AZ30_01725
ko:K00299	saui:AZ30_01740
ko:K03817	saui:AZ30_01755
ko:K07224	saui:AZ30_01760
ko:K16301	saui:AZ30_01765
ko:K07243	saui:AZ30_01770
ko:K03118	saui:AZ30_01775
ko:K03116	saui:AZ30_01780
ko:K07729	saui:AZ30_01790
ko:K01990	saui:AZ30_01800
ko:K00626	saui:AZ30_01815
ko:K00549	saui:AZ30_01825
ko:K01760	saui:AZ30_01835
ko:K01739	saui:AZ30_01840
ko:K06942	saui:AZ30_01860
ko:K02990	saui:AZ30_01870
ko:K02963	saui:AZ30_01880
ko:K00432	saui:AZ30_06285
ko:K03665	saui:AZ30_06290
ko:K03713	saui:AZ30_06300
ko:K01915	saui:AZ30_06305
ko:K01620	saui:AZ30_06400
ko:K06131	saui:AZ30_06410
ko:K01990	saui:AZ30_06415
ko:K01992	saui:AZ30_06420
ko:K07778	saui:AZ30_06425
ko:K00928	saui:AZ30_06455
ko:K00003	saui:AZ30_06460
ko:K01733	saui:AZ30_06465
ko:K00872	saui:AZ30_06470
ko:K03781	saui:AZ30_06490
ko:K02913	saui:AZ30_06495
ko:K02954	saui:AZ30_06500
ko:K00364	saui:AZ30_06505
ko:K01356	saui:AZ30_06520
ko:K00615	saui:AZ30_06535
ko:K09976	saui:AZ30_06540
ko:K03547	saui:AZ30_06550
ko:K03282	saui:AZ30_06560
ko:K05020	saui:AZ30_06565
ko:K01681	saui:AZ30_06570
ko:K07107	saui:AZ30_06575
ko:K08591	saui:AZ30_06585
ko:K07112	saui:AZ30_10790
ko:K01926	saui:AZ30_10795
ko:K06158	saui:AZ30_10800
ko:K01409	saui:AZ30_10810
ko:K03789	saui:AZ30_10815
ko:K06925	saui:AZ30_10825
ko:K01687	saui:AZ30_10835
ko:K01652	saui:AZ30_10840
ko:K01653	saui:AZ30_10845
ko:K00053	saui:AZ30_10850
ko:K01649	saui:AZ30_10855
ko:K00052	saui:AZ30_10860
ko:K01703	saui:AZ30_10865
ko:K01704	saui:AZ30_10870
ko:K01754	saui:AZ30_10875
ko:K03095	saui:AZ30_10910
ko:K06959	saui:AZ30_10915
ko:K03090	saui:AZ30_10920
ko:K04757	saui:AZ30_10925
ko:K07315	saui:AZ30_10935
ko:K01775	saui:AZ30_10950
ko:K00997	saui:AZ30_10955
ko:K09167	saui:AZ30_10960
ko:K08981	saui:AZ30_10965
ko:K01548	saui:AZ30_10975
ko:K01547	saui:AZ30_10980
ko:K01546	saui:AZ30_10985
ko:K07646	saui:AZ30_10995
ko:K00926	saui:AZ30_00320
ko:K00611	saui:AZ30_00325
ko:K03758	saui:AZ30_00335
ko:K01478	saui:AZ30_00340
ko:K02035	saui:AZ30_00375
ko:K02033	saui:AZ30_00380
ko:K02034	saui:AZ30_00385
ko:K01533	saui:AZ30_00400
ko:K07090	saui:AZ30_00420
ko:K02837	saui:AZ30_04850
ko:K02250	saui:AZ30_04885
ko:K03800	saui:AZ30_04895
ko:K07052	saui:AZ30_04905
ko:K02003	saui:AZ30_04925
ko:K15977	saui:AZ30_04945
ko:K02016	saui:AZ30_04950
ko:K02548	saui:AZ30_04970
ko:K02552	saui:AZ30_04975
ko:K02551	saui:AZ30_04980
ko:K08680	saui:AZ30_04985
ko:K01661	saui:AZ30_04990
ko:K13715	saui:AZ30_05000
ko:K00841	saui:AZ30_05010
ko:K02829	saui:AZ30_05050
