ko:K00134	echw:ECHWAK_0019
ko:K06890	echw:ECHWAK_0021
ko:K06925	echw:ECHWAK_0022
ko:K02520	echw:ECHWAK_0023
ko:K01868	echw:ECHWAK_0024
ko:K02884	echw:ECHWAK_0026
ko:K00554	echw:ECHWAK_0027
ko:K03743	echw:ECHWAK_0025
ko:K02860	echw:ECHWAK_0028
ko:K07042	echw:ECHWAK_0031
ko:K03531	echw:ECHWAK_0033
ko:K03070	echw:ECHWAK_0036
ko:K00940	echw:ECHWAK_0063
ko:K07462	echw:ECHWAK_0065
ko:K00031	echw:ECHWAK_0066
ko:K03110	echw:ECHWAK_0067
ko:K01935	echw:ECHWAK_0068
ko:K00762	echw:ECHWAK_0070
ko:K03072	echw:ECHWAK_0072
ko:K01599	echw:ECHWAK_0001
ko:K13292	echw:ECHWAK_0077
ko:K03798	echw:ECHWAK_0079
ko:K02276	echw:ECHWAK_0002
ko:K02110	echw:ECHWAK_0087
ko:K01159	echw:ECHWAK_0003
ko:K08591	echw:ECHWAK_0004
ko:K00767	echw:ECHWAK_0005
ko:K03686	echw:ECHWAK_0006
ko:K01869	echw:ECHWAK_0344
ko:K03424	echw:ECHWAK_0346
ko:K01591	echw:ECHWAK_0347
ko:K03787	echw:ECHWAK_0348
ko:K02197	echw:ECHWAK_0350
ko:K00332	echw:ECHWAK_0351
ko:K00331	echw:ECHWAK_0352
ko:K00330	echw:ECHWAK_0353
ko:K03701	echw:ECHWAK_0354
ko:K03625	echw:ECHWAK_0355
ko:K00794	echw:ECHWAK_0356
ko:K03217	echw:ECHWAK_0357
ko:K03310	echw:ECHWAK_0358
ko:K17103	echw:ECHWAK_0359
ko:K01613	echw:ECHWAK_0361
ko:K02356	echw:ECHWAK_0363
ko:K01092	echw:ECHWAK_0364
ko:K06179	echw:ECHWAK_0365
ko:K02488	echw:ECHWAK_0366
ko:K15371	echw:ECHWAK_0368
ko:K01883	echw:ECHWAK_0370
ko:K03086	echw:ECHWAK_0377
ko:K05540	echw:ECHWAK_0378
ko:K00919	echw:ECHWAK_0379
ko:K03926	echw:ECHWAK_0380
ko:K03168	echw:ECHWAK_0386
ko:K09985	echw:ECHWAK_0391
ko:K03060	echw:ECHWAK_0342
ko:K01952	echw:ECHWAK_0749
ko:K03495	echw:ECHWAK_0750
ko:K02446	echw:ECHWAK_0751
ko:K06194	echw:ECHWAK_0752
ko:K01012	echw:ECHWAK_0755
ko:K01952	echw:ECHWAK_0756
ko:K00950	echw:ECHWAK_0757
ko:K09710	echw:ECHWAK_0760
ko:K01933	echw:ECHWAK_0763
ko:K03733	echw:ECHWAK_0764
ko:K00057	echw:ECHWAK_0765
ko:K13599	echw:ECHWAK_0766
ko:K03589	echw:ECHWAK_0768
ko:K01920	echw:ECHWAK_0769
ko:K01876	echw:ECHWAK_0771
ko:K00600	echw:ECHWAK_0772
ko:K01091	echw:ECHWAK_0774
ko:K01006	echw:ECHWAK_0776
ko:K08738	echw:ECHWAK_0779
ko:K01491	echw:ECHWAK_0782
ko:K00942	echw:ECHWAK_0783
ko:K02195	echw:ECHWAK_0784
ko:K03550	echw:ECHWAK_0785
ko:K03551	echw:ECHWAK_0786
