ko:K03110	rps:M9Y_03760
ko:K00789	rps:M9Y_03770
ko:K02337	rps:M9Y_03775
ko:K00012	rps:M9Y_03780
ko:K03118	rps:M9Y_03795
ko:K01875	rps:M9Y_03800
ko:K07277	rps:M9Y_00770
ko:K11749	rps:M9Y_00775
ko:K03625	rps:M9Y_00780
ko:K09761	rps:M9Y_00810
ko:K09779	rps:M9Y_00815
ko:K03530	rps:M9Y_00825
ko:K02341	rps:M9Y_00830
ko:K03106	rps:M9Y_00835
ko:K03926	rps:M9Y_00855
ko:K01737	rps:M9Y_00860
ko:K00658	rps:M9Y_00865
ko:K00164	rps:M9Y_00870
ko:K01299	rps:M9Y_00885
ko:K03631	rps:M9Y_00890
ko:K05807	rps:M9Y_00895
ko:K03686	rps:M9Y_00900
ko:K04043	rps:M9Y_00905
ko:K02340	rps:M9Y_00930
ko:K06134	rps:M9Y_00935
ko:K02276	rps:M9Y_00940
ko:K05367	rps:M9Y_00960
ko:K07080	rps:M9Y_00975
ko:K04044	rps:M9Y_00990
ko:K04082	rps:M9Y_00995
ko:K03470	rps:M9Y_01000
ko:K03702	rps:M9Y_01005
ko:K02469	rps:M9Y_01020
ko:K01462	rps:M9Y_01030
ko:K00604	rps:M9Y_01035
ko:K06916	rps:M9Y_01040
ko:K07568	rps:M9Y_01045
ko:K00339	rps:M9Y_03830
ko:K00340	rps:M9Y_03835
ko:K00341	rps:M9Y_03840
ko:K00342	rps:M9Y_03845
ko:K00338	rps:M9Y_03855
ko:K00337	rps:M9Y_03860
ko:K01681	rps:M9Y_03875
ko:K02114	rps:M9Y_03880
ko:K02112	rps:M9Y_03885
ko:K02115	rps:M9Y_03890
ko:K02111	rps:M9Y_03895
ko:K02113	rps:M9Y_03900
ko:K00382	rps:M9Y_03905
ko:K04047	rps:M9Y_03910
ko:K05366	rps:M9Y_03915
ko:K06168	rps:M9Y_03920
ko:K09710	rps:M9Y_03935
ko:K02518	rps:M9Y_03945
ko:K06287	rps:M9Y_03950
ko:K06204	rps:M9Y_03955
ko:K03733	rps:M9Y_03960
ko:K03821	rps:M9Y_03975
ko:K03182	rps:M9Y_03980
ko:K03466	rps:M9Y_03995
ko:K01265	rps:M9Y_04000
ko:K02195	rps:M9Y_04030
ko:K09817	rps:M9Y_04050
ko:K03701	rps:M9Y_04055
ko:K00425	rps:M9Y_01060
ko:K00426	rps:M9Y_01065
ko:K01923	rps:M9Y_01080
ko:K01868	rps:M9Y_01085
ko:K09991	rps:M9Y_01105
ko:K02622	rps:M9Y_01115
ko:K03797	rps:M9Y_01120
ko:K07716	rps:M9Y_01125
ko:K02871	rps:M9Y_01145
ko:K02996	rps:M9Y_01150
ko:K08311	rps:M9Y_01155
ko:K02356	rps:M9Y_01165
ko:K01613	rps:M9Y_01180
ko:K03543	rps:M9Y_01190
ko:K05527	rps:M9Y_01200
ko:K01924	rps:M9Y_01210
ko:K00075	rps:M9Y_01215
ko:K01921	rps:M9Y_01220
ko:K03589	rps:M9Y_01225
ko:K03590	rps:M9Y_01230
ko:K02535	rps:M9Y_01245
ko:K08300	rps:M9Y_01250
ko:K02259	rps:M9Y_01255
ko:K01142	rps:M9Y_01270
ko:K00161	rps:M9Y_01275
ko:K00162	rps:M9Y_01280
ko:K06207	rps:M9Y_01285
ko:K00031	rps:M9Y_01295
ko:K05571	rps:M9Y_01300
ko:K05566	rps:M9Y_01305
ko:K02194	rps:M9Y_01310
ko:K00411	rps:M9Y_01320
ko:K00412	rps:M9Y_01325
ko:K00413	rps:M9Y_01330
ko:K09131	rps:M9Y_04070
ko:K04079	rps:M9Y_04075
ko:K00643	rps:M9Y_04080
ko:K03545	rps:M9Y_04085
ko:K03979	rps:M9Y_04090
ko:K01647	rps:M9Y_04095
ko:K06180	rps:M9Y_04105
ko:K02493	rps:M9Y_04110
ko:K07566	rps:M9Y_04115
ko:K01879	rps:M9Y_04120
ko:K01878	rps:M9Y_04125
ko:K09765	rps:M9Y_04130
ko:K03762	rps:M9Y_04135
ko:K01872	rps:M9Y_04155
ko:K06173	rps:M9Y_04160
ko:K03086	rps:M9Y_04165
ko:K03624	rps:M9Y_04180
ko:K00324	rps:M9Y_04185
ko:K00324	rps:M9Y_04190
ko:K02343	rps:M9Y_04200
ko:K09747	rps:M9Y_04205
ko:K06985	rps:M9Y_04210
ko:K06167	rps:M9Y_04220
ko:K07091	rps:M9Y_04230
ko:K02339	rps:M9Y_04235
ko:K03801	rps:M9Y_04250
ko:K02959	rps:M9Y_04255
ko:K02913	rps:M9Y_04260
ko:K03572	rps:M9Y_04265
ko:K03762	rps:M9Y_04275
ko:K00228	rps:M9Y_04280
ko:K08973	rps:M9Y_04285
ko:K01772	rps:M9Y_04290
ko:K01599	rps:M9Y_04295
ko:K02836	rps:M9Y_01340
ko:K03596	rps:M9Y_01345
ko:K05837	rps:M9Y_01360
ko:K01354	rps:M9Y_01365
ko:K05567	rps:M9Y_01390
ko:K01524	rps:M9Y_01435
ko:K03555	rps:M9Y_01455
ko:K01808	rps:M9Y_01460
ko:K03641	rps:M9Y_01475
ko:K03089	rps:M9Y_01480
ko:K00566	rps:M9Y_01495
ko:K01892	rps:M9Y_01505
ko:K03562	rps:M9Y_01510
ko:K00133	rps:M9Y_01545
ko:K01419	rps:M9Y_01560
ko:K03667	rps:M9Y_01565
ko:K00748	rps:M9Y_01570
ko:K07082	rps:M9Y_01575
ko:K06202	rps:M9Y_01580
ko:K03523	rps:M9Y_01585
ko:K03168	rps:M9Y_01595
ko:K07447	rps:M9Y_01615
ko:K00067	rps:M9Y_01620
ko:K02986	rps:M9Y_01685
ko:K02860	rps:M9Y_01700
ko:K03602	rps:M9Y_01710
ko:K03652	rps:M9Y_01715
ko:K08998	rps:M9Y_01720
ko:K00334	rps:M9Y_01725
ko:K00333	rps:M9Y_01730
ko:K00332	rps:M9Y_01735
ko:K00331	rps:M9Y_01740
ko:K00330	rps:M9Y_01745
ko:K00208	rps:M9Y_01780
ko:K03820	rps:M9Y_01785
ko:K04566	rps:M9Y_01810
ko:K07088	rps:M9Y_01815
ko:K00029	rps:M9Y_01820
ko:K00024	rps:M9Y_01835
ko:K01937	rps:M9Y_01845
ko:K00979	rps:M9Y_01850
ko:K01495	rps:M9Y_01860
ko:K01881	rps:M9Y_01865
ko:K03550	rps:M9Y_01875
ko:K03551	rps:M9Y_01880
ko:K03642	rps:M9Y_01895
ko:K06190	rps:M9Y_01905
ko:K07243	rps:M9Y_01910
ko:K00449	rps:M9Y_01925
ko:K08309	rps:M9Y_01945
ko:K07010	rps:M9Y_01965
ko:K02275	rps:M9Y_01975
ko:K03101	rps:M9Y_01985
ko:K01925	rps:M9Y_01995
ko:K03588	rps:M9Y_02000
ko:K02563	rps:M9Y_02005
ko:K01778	rps:M9Y_02020
ko:K01889	rps:M9Y_02030
ko:K01890	rps:M9Y_02035
ko:K02338	rps:M9Y_02040
ko:K01869	rps:M9Y_02050
ko:K03684	rps:M9Y_02055
ko:K00981	rps:M9Y_02065
ko:K00806	rps:M9Y_02070
