ko:K18989	vcz:VAB027_3220
ko:K18990	vcz:VAB027_3221
ko:K15724	vcz:VAB027_3222
ko:K01845	vcz:VAB027_3223
ko:K00564	vcz:VAB027_3226
ko:K02035	vcz:VAB027_3228
ko:K02033	vcz:VAB027_3229
ko:K02034	vcz:VAB027_3230
ko:K18676	vcz:VAB027_3234
ko:K12373	vcz:VAB027_3235
ko:K18675	vcz:VAB027_3236
ko:K02010	vcz:VAB027_3238
ko:K02011	vcz:VAB027_3239
ko:K02012	vcz:VAB027_3240
ko:K03320	vcz:VAB027_3241
ko:K04752	vcz:VAB027_3242
ko:K09910	vcz:VAB027_3243
ko:K01682	vcz:VAB027_3244
ko:K03430	vcz:VAB027_560
ko:K02012	vcz:VAB027_561
ko:K02010	vcz:VAB027_563
ko:K02011	vcz:VAB027_564
ko:K09712	vcz:VAB027_569
ko:K13893	vcz:VAB027_572
ko:K13894	vcz:VAB027_573
ko:K13895	vcz:VAB027_574
ko:K13896	vcz:VAB027_575
ko:K06934	vcz:VAB027_576
ko:K02030	vcz:VAB027_580
ko:K14761	vcz:VAB027_581
ko:K11925	vcz:VAB027_585
ko:K16087	vcz:VAB027_586
ko:K01921	vcz:VAB027_590
ko:K03113	vcz:VAB027_592
ko:K07491	vcz:VAB027_593
ko:K09917	vcz:VAB027_594
ko:K00325	vcz:VAB027_599
ko:K00324	vcz:VAB027_600
ko:K00681	vcz:VAB027_605
ko:K17713	vcz:VAB027_1418
ko:K03977	vcz:VAB027_1419
ko:K01872	vcz:VAB027_1420
ko:K03601	vcz:VAB027_1421
ko:K00088	vcz:VAB027_1423
ko:K01951	vcz:VAB027_1424
ko:K07034	vcz:VAB027_1426
ko:K01252	vcz:VAB027_1427
ko:K02363	vcz:VAB027_1428
ko:K02361	vcz:VAB027_1429
ko:K00216	vcz:VAB027_1430
ko:K02016	vcz:VAB027_1432
ko:K02015	vcz:VAB027_1433
ko:K02015	vcz:VAB027_1434
ko:K02013	vcz:VAB027_1435
ko:K02362	vcz:VAB027_1436
ko:K03310	vcz:VAB027_1437
ko:K00285	vcz:VAB027_1438
ko:K10253	vcz:VAB027_1440
ko:K07702	vcz:VAB027_1442
ko:K07700	vcz:VAB027_1443
ko:K01572	vcz:VAB027_1444
ko:K01571	vcz:VAB027_1445
ko:K01573	vcz:VAB027_1446
ko:K01910	vcz:VAB027_1448
ko:K01646	vcz:VAB027_1449
ko:K01644	vcz:VAB027_1450
ko:K01643	vcz:VAB027_1451
ko:K05964	vcz:VAB027_1452
ko:K05966	vcz:VAB027_1453
ko:K09964	vcz:VAB027_1454
ko:K03437	vcz:VAB027_1455
ko:K05524	vcz:VAB027_1456
ko:K07137	vcz:VAB027_1457
ko:K03427	vcz:VAB027_1460
ko:K01154	vcz:VAB027_1461
ko:K01153	vcz:VAB027_1462
ko:K07154	vcz:VAB027_1464
ko:K18923	vcz:VAB027_1466
ko:K07733	vcz:VAB027_1467
ko:K06970	vcz:VAB027_2262
ko:K07043	vcz:VAB027_2263
ko:K09941	vcz:VAB027_2267
ko:K12543	vcz:VAB027_2269
ko:K13747	vcz:VAB027_2271
ko:K13746	vcz:VAB027_2272
ko:K00836	vcz:VAB027_2273
ko:K03313	vcz:VAB027_2274
ko:K02004	vcz:VAB027_2276
ko:K02003	vcz:VAB027_2277
ko:K07552	vcz:VAB027_2281
ko:K06183	vcz:VAB027_2282
ko:K02897	vcz:VAB027_2287
ko:K03406	vcz:VAB027_2290
ko:K07025	vcz:VAB027_2293
ko:K01387	vcz:VAB027_2297
ko:K07679	vcz:VAB027_2300
ko:K06213	vcz:VAB027_2301
ko:K03837	vcz:VAB027_2304
ko:K01993	vcz:VAB027_2305
ko:K06938	vcz:VAB027_2309
ko:K03668	vcz:VAB027_2310
ko:K05777	vcz:VAB027_2311
