ko:K02115	xoy:AZ54_21130
ko:K02111	xoy:AZ54_21135
ko:K02113	xoy:AZ54_21140
ko:K02109	xoy:AZ54_21145
ko:K02110	xoy:AZ54_21150
ko:K02108	xoy:AZ54_21155
ko:K00382	xoy:AZ54_21175
ko:K00627	xoy:AZ54_21185
ko:K07275	xoy:AZ54_21200
ko:K02073	xoy:AZ54_21210
ko:K02072	xoy:AZ54_21215
ko:K02071	xoy:AZ54_21220
ko:K09767	xoy:AZ54_21230
ko:K09941	xoy:AZ54_21255
ko:K06183	xoy:AZ54_21270
ko:K00564	xoy:AZ54_21275
ko:K01775	xoy:AZ54_21315
ko:K02313	xoy:AZ54_00005
ko:K02338	xoy:AZ54_00010
ko:K03629	xoy:AZ54_00015
ko:K02470	xoy:AZ54_00020
ko:K07052	xoy:AZ54_00025
ko:K03832	xoy:AZ54_00040
ko:K03561	xoy:AZ54_00045
ko:K03559	xoy:AZ54_00050
ko:K03559	xoy:AZ54_00055
ko:K03474	xoy:AZ54_00060
ko:K06131	xoy:AZ54_00070
ko:K03841	xoy:AZ54_00085
ko:K00832	xoy:AZ54_00090
ko:K02014	xoy:AZ54_00095
ko:K07481	xoy:AZ54_00110
ko:K00101	xoy:AZ54_00115
ko:K00209	xoy:AZ54_00135
ko:K00874	xoy:AZ54_00145
ko:K07481	xoy:AZ54_00180
ko:K07481	xoy:AZ54_00280
ko:K07071	xoy:AZ54_00290
ko:K01093	xoy:AZ54_04960
ko:K00789	xoy:AZ54_04965
ko:K07038	xoy:AZ54_04970
ko:K07038	xoy:AZ54_04975
ko:K05540	xoy:AZ54_04985
ko:K00852	xoy:AZ54_05000
ko:K03317	xoy:AZ54_05005
ko:K09922	xoy:AZ54_05050
ko:K02049	xoy:AZ54_05060
ko:K03119	xoy:AZ54_05070
ko:K02004	xoy:AZ54_05075
ko:K02003	xoy:AZ54_05080
ko:K10804	xoy:AZ54_05085
ko:K00901	xoy:AZ54_05110
ko:K03744	xoy:AZ54_05115
ko:K06872	xoy:AZ54_05120
ko:K13292	xoy:AZ54_05130
ko:K01525	xoy:AZ54_05150
ko:K06195	xoy:AZ54_05155
ko:K02528	xoy:AZ54_05160
ko:K00097	xoy:AZ54_05165
ko:K03771	xoy:AZ54_05170
ko:K04744	xoy:AZ54_05175
ko:K00798	xoy:AZ54_05185
ko:K03185	xoy:AZ54_05195
ko:K03184	xoy:AZ54_05200
ko:K11475	xoy:AZ54_05225
ko:K04101	xoy:AZ54_05230
ko:K02623	xoy:AZ54_05240
ko:K00666	xoy:AZ54_05245
ko:K03406	xoy:AZ54_09810
ko:K03407	xoy:AZ54_09835
ko:K03413	xoy:AZ54_09840
ko:K03408	xoy:AZ54_09850
ko:K03496	xoy:AZ54_09855
ko:K02557	xoy:AZ54_09860
ko:K02556	xoy:AZ54_09865
ko:K04564	xoy:AZ54_09885
ko:K02014	xoy:AZ54_09895
ko:K19048	xoy:AZ54_09945
ko:K07483	xoy:AZ54_09985
ko:K07001	xoy:AZ54_01335
ko:K02013	xoy:AZ54_01345
ko:K05847	xoy:AZ54_01360
ko:K05845	xoy:AZ54_01365
ko:K05846	xoy:AZ54_01365
ko:K07154	xoy:AZ54_01385
ko:K04090	xoy:AZ54_01395
ko:K07088	xoy:AZ54_01410
ko:K03496	xoy:AZ54_01415
ko:K00655	xoy:AZ54_01440
ko:K07019	xoy:AZ54_01445
ko:K06910	xoy:AZ54_01460
ko:K06153	xoy:AZ54_01475
ko:K01915	xoy:AZ54_01480
ko:K04751	xoy:AZ54_01485
ko:K03320	xoy:AZ54_01490
ko:K07708	xoy:AZ54_01495
ko:K07712	xoy:AZ54_01500
ko:K04565	xoy:AZ54_01505
ko:K04565	xoy:AZ54_01510
ko:K03583	xoy:AZ54_01565
ko:K03582	xoy:AZ54_01570
ko:K03581	xoy:AZ54_01575
ko:K11891	xoy:AZ54_06175
ko:K11890	xoy:AZ54_06180
ko:K03286	xoy:AZ54_06185
ko:K11902	xoy:AZ54_06190
ko:K11892	xoy:AZ54_06345
ko:K11892	xoy:AZ54_06375
ko:K11893	xoy:AZ54_06380
ko:K11906	xoy:AZ54_06385
ko:K11901	xoy:AZ54_06395
ko:K11900	xoy:AZ54_06400
ko:K11903	xoy:AZ54_06405
ko:K11897	xoy:AZ54_06410
ko:K11896	xoy:AZ54_06415
ko:K11895	xoy:AZ54_06420
ko:K11907	xoy:AZ54_06425
ko:K03407	xoy:AZ54_11010
ko:K03414	xoy:AZ54_11015
ko:K03413	xoy:AZ54_11020
ko:K02405	xoy:AZ54_11025
ko:K04562	xoy:AZ54_11030
ko:K02404	xoy:AZ54_11035
ko:K02400	xoy:AZ54_11040
ko:K02401	xoy:AZ54_11045
ko:K02421	xoy:AZ54_11065
ko:K02420	xoy:AZ54_11070
ko:K02419	xoy:AZ54_11075
ko:K02418	xoy:AZ54_11080
ko:K02417	xoy:AZ54_11085
ko:K02416	xoy:AZ54_11090
ko:K02415	xoy:AZ54_11095
ko:K02414	xoy:AZ54_11100
ko:K02413	xoy:AZ54_11105
ko:K02412	xoy:AZ54_11110
ko:K02411	xoy:AZ54_11115
ko:K02410	xoy:AZ54_11120
ko:K02409	xoy:AZ54_11125
ko:K02408	xoy:AZ54_11130
ko:K00648	xoy:AZ54_11175
ko:K10941	xoy:AZ54_11190
ko:K03092	xoy:AZ54_11200
ko:K02422	xoy:AZ54_11220
ko:K02407	xoy:AZ54_11225
ko:K02406	xoy:AZ54_11230
ko:K02397	xoy:AZ54_11235
ko:K02396	xoy:AZ54_11240
ko:K02395	xoy:AZ54_11245
ko:K02394	xoy:AZ54_11250
ko:K02393	xoy:AZ54_11255
ko:K01444	xoy:AZ54_15710
ko:K03790	xoy:AZ54_15735
ko:K06598	xoy:AZ54_15740
ko:K06597	xoy:AZ54_15745
ko:K02487	xoy:AZ54_15750
ko:K06596	xoy:AZ54_15750
ko:K02660	xoy:AZ54_15755
ko:K02659	xoy:AZ54_15760
ko:K02658	xoy:AZ54_15765
ko:K02657	xoy:AZ54_15770
ko:K01920	xoy:AZ54_15775
ko:K03832	xoy:AZ54_15780
ko:K14742	xoy:AZ54_15790
ko:K05365	xoy:AZ54_15805
ko:K00951	xoy:AZ54_15820
ko:K07481	xoy:AZ54_10030
ko:K07267	xoy:AZ54_10040
ko:K02769	xoy:AZ54_10045
ko:K02770	xoy:AZ54_10045
ko:K00882	xoy:AZ54_10050
ko:K02768	xoy:AZ54_10055
ko:K08483	xoy:AZ54_10055
ko:K11183	xoy:AZ54_10055
ko:K03435	xoy:AZ54_10060
ko:K18138	xoy:AZ54_10080
ko:K03585	xoy:AZ54_10085
ko:K01953	xoy:AZ54_14530
ko:K01439	xoy:AZ54_14540
ko:K00674	xoy:AZ54_14560
ko:K00990	xoy:AZ54_14565
ko:K01265	xoy:AZ54_14570
ko:K07346	xoy:AZ54_14580
ko:K07347	xoy:AZ54_14585
ko:K07346	xoy:AZ54_14600
ko:K02967	xoy:AZ54_14605
ko:K02357	xoy:AZ54_14610
ko:K09903	xoy:AZ54_14620
ko:K02838	xoy:AZ54_14625
ko:K00806	xoy:AZ54_14630
ko:K00981	xoy:AZ54_14635
ko:K00099	xoy:AZ54_14640
ko:K11749	xoy:AZ54_14645
ko:K07277	xoy:AZ54_14650
ko:K02536	xoy:AZ54_14655
ko:K02372	xoy:AZ54_14660
ko:K00677	xoy:AZ54_14665
ko:K00748	xoy:AZ54_14670
ko:K03470	xoy:AZ54_14675
ko:K02337	xoy:AZ54_14680
ko:K01962	xoy:AZ54_14685
ko:K01990	xoy:AZ54_14700
ko:K01992	xoy:AZ54_14705
ko:K01992	xoy:AZ54_14710
ko:K07481	xoy:AZ54_14720
ko:K07481	xoy:AZ54_14725
ko:K08973	xoy:AZ54_14740
ko:K05973	xoy:AZ54_14750
ko:K07481	xoy:AZ54_14780
ko:K07481	xoy:AZ54_14790
ko:K19048	xoy:AZ54_14795
ko:K07481	xoy:AZ54_14800
ko:K09125	xoy:AZ54_14815
ko:K11904	xoy:AZ54_19325
ko:K02342	xoy:AZ54_19375
ko:K03469	xoy:AZ54_19380
ko:K01069	xoy:AZ54_19390
ko:K08307	xoy:AZ54_19395
ko:K03770	xoy:AZ54_19400
ko:K03530	xoy:AZ54_19420
ko:K01338	xoy:AZ54_19425
ko:K03544	xoy:AZ54_19430
ko:K01358	xoy:AZ54_19435
ko:K03545	xoy:AZ54_19440
ko:K00030	xoy:AZ54_19500
ko:K07657	xoy:AZ54_19540
ko:K07636	xoy:AZ54_19545
ko:K00937	xoy:AZ54_19550
ko:K01524	xoy:AZ54_19555
ko:K06133	xoy:AZ54_24010
ko:K01113	xoy:AZ54_24015
ko:K01113	xoy:AZ54_24020
ko:K03501	xoy:AZ54_24025
ko:K02902	xoy:AZ54_24045
ko:K02913	xoy:AZ54_24050
ko:K10220	xoy:AZ54_24055
ko:K16514	xoy:AZ54_24060
ko:K10218	xoy:AZ54_24065
ko:K06131	xoy:AZ54_24075
ko:K03657	xoy:AZ54_24095
ko:K03294	xoy:AZ54_24110
ko:K00432	xoy:AZ54_24130
ko:K07481	xoy:AZ54_24135
ko:K06076	xoy:AZ54_24160
ko:K00058	xoy:AZ54_24175
ko:K03797	xoy:AZ54_24180
ko:K07481	xoy:AZ54_24210
ko:K07481	xoy:AZ54_24215
ko:K01495	xoy:AZ54_24255
ko:K03761	xoy:AZ54_24275
ko:K06131	xoy:AZ54_24290
ko:K06136	xoy:AZ54_15830
ko:K06137	xoy:AZ54_15835
ko:K06138	xoy:AZ54_15840
ko:K06139	xoy:AZ54_15845
ko:K00845	xoy:AZ54_15870
ko:K03578	xoy:AZ54_15880
ko:K04047	xoy:AZ54_15885
ko:K03654	xoy:AZ54_15890
ko:K06920	xoy:AZ54_15910
ko:K07481	xoy:AZ54_15915
ko:K10026	xoy:AZ54_15935
ko:K03640	xoy:AZ54_15945
ko:K03641	xoy:AZ54_15950
ko:K03646	xoy:AZ54_15955
ko:K03560	xoy:AZ54_15960
ko:K03562	xoy:AZ54_15965
ko:K07107	xoy:AZ54_15970
ko:K03551	xoy:AZ54_15975
ko:K03549	xoy:AZ54_15985
ko:K03550	xoy:AZ54_15990
ko:K01159	xoy:AZ54_15995
ko:K19119	xoy:AZ54_20455
ko:K19117	xoy:AZ54_20460
ko:K19118	xoy:AZ54_20465
ko:K07464	xoy:AZ54_20470
ko:K15342	xoy:AZ54_20475
ko:K09951	xoy:AZ54_20480
ko:K02014	xoy:AZ54_20510
ko:K03811	xoy:AZ54_20515
ko:K02453	xoy:AZ54_20530
