ko:K02835	dmg:GY50_1015
ko:K07667	dmg:GY50_0242
ko:K07001	dmg:GY50_0252
ko:K06915	dmg:GY50_0254
ko:K03074	dmg:GY50_0260
ko:K03072	dmg:GY50_0261
ko:K00970	dmg:GY50_0262
ko:K04066	dmg:GY50_0264
ko:K02884	dmg:GY50_0265
ko:K00554	dmg:GY50_0266
ko:K03925	dmg:GY50_0267
ko:K03438	dmg:GY50_0268
ko:K03590	dmg:GY50_0269
ko:K01843	dmg:GY50_0220
ko:K01843	dmg:GY50_0554
ko:K03797	dmg:GY50_0289
ko:K01889	dmg:GY50_0290
ko:K01890	dmg:GY50_0291
ko:K01507	dmg:GY50_0292
ko:K01881	dmg:GY50_0293
ko:K00099	dmg:GY50_0296
ko:K00981	dmg:GY50_0297
ko:K00806	dmg:GY50_0298
ko:K02838	dmg:GY50_0299
ko:K09903	dmg:GY50_0300
ko:K02357	dmg:GY50_0301
ko:K02967	dmg:GY50_0302
ko:K01952	dmg:GY50_0303
ko:K01952	dmg:GY50_0304
ko:K06215	dmg:GY50_0305
ko:K00088	dmg:GY50_0308
ko:K07056	dmg:GY50_0309
ko:K01874	dmg:GY50_0311
ko:K02523	dmg:GY50_0312
ko:K03798	dmg:GY50_0314
ko:K01151	dmg:GY50_0315
ko:K09710	dmg:GY50_0317
ko:K00940	dmg:GY50_0318
ko:K06925	dmg:GY50_0320
ko:K00946	dmg:GY50_0321
ko:K03183	dmg:GY50_0322
ko:K03183	dmg:GY50_0324
ko:K01735	dmg:GY50_0325
ko:K02548	dmg:GY50_0326
ko:K02528	dmg:GY50_0329
ko:K00919	dmg:GY50_0330
ko:K10716	dmg:GY50_0333
ko:K00974	dmg:GY50_0334
ko:K07304	dmg:GY50_1074
ko:K07305	dmg:GY50_1075
ko:K07343	dmg:GY50_1077
ko:K02669	dmg:GY50_1086
ko:K00620	dmg:GY50_1087
ko:K00930	dmg:GY50_1088
ko:K01940	dmg:GY50_1091
ko:K01755	dmg:GY50_1092
ko:K02902	dmg:GY50_1093
ko:K07030	dmg:GY50_1094
ko:K03655	dmg:GY50_1099
ko:K01887	dmg:GY50_1101
ko:K00208	dmg:GY50_1104
ko:K07040	dmg:GY50_1106
ko:K02911	dmg:GY50_1107
ko:K00645	dmg:GY50_1108
ko:K00059	dmg:GY50_1109
ko:K03625	dmg:GY50_1110
ko:K02078	dmg:GY50_1111
ko:K03723	dmg:GY50_1114
ko:K00931	dmg:GY50_1115
ko:K00147	dmg:GY50_1121
ko:K00989	dmg:GY50_1122
ko:K03743	dmg:GY50_1124
ko:K09131	dmg:GY50_1125
ko:K09695	dmg:GY50_0335
ko:K03531	dmg:GY50_0270
ko:K07738	dmg:GY50_0271
ko:K09117	dmg:GY50_0276
ko:K02970	dmg:GY50_0277
ko:K02493	dmg:GY50_1016
ko:K02355	dmg:GY50_1017
ko:K04763	dmg:GY50_1020
ko:K03703	dmg:GY50_1021
ko:K03824	dmg:GY50_1022
ko:K03555	dmg:GY50_1025
ko:K01622	dmg:GY50_1030
ko:K02428	dmg:GY50_1031
ko:K02338	dmg:GY50_1032
ko:K01156	dmg:GY50_1040
ko:K07665	dmg:GY50_1056
ko:K01433	dmg:GY50_1070
ko:K03325	dmg:GY50_1073
ko:K09694	dmg:GY50_0336
ko:K02028	dmg:GY50_0343
ko:K02029	dmg:GY50_0344
ko:K02030	dmg:GY50_0345
ko:K09125	dmg:GY50_0349
ko:K09122	dmg:GY50_0351
ko:K17758	dmg:GY50_0352
ko:K17759	dmg:GY50_0352
ko:K03525	dmg:GY50_0353
ko:K13038	dmg:GY50_0354
ko:K01873	dmg:GY50_0355
ko:K03070	dmg:GY50_0359
ko:K00948	dmg:GY50_0360
ko:K00600	dmg:GY50_0361
ko:K12574	dmg:GY50_0363
ko:K03466	dmg:GY50_0364
ko:K03702	dmg:GY50_0366
ko:K03550	dmg:GY50_0367
ko:K01159	dmg:GY50_0368
ko:K00997	dmg:GY50_0370
ko:K00334	dmg:GY50_0371
ko:K01966	dmg:GY50_0372
ko:K01703	dmg:GY50_0373
ko:K01704	dmg:GY50_0374
ko:K00030	dmg:GY50_0375
ko:K00024	dmg:GY50_0376
ko:K01677	dmg:GY50_0378
ko:K01678	dmg:GY50_0379
ko:K02503	dmg:GY50_0380
ko:K01515	dmg:GY50_0381
ko:K00619	dmg:GY50_0382
ko:K00858	dmg:GY50_0383
ko:K04517	dmg:GY50_0385
ko:K14170	dmg:GY50_0386
ko:K06207	dmg:GY50_1132
ko:K09946	dmg:GY50_1142
ko:K07478	dmg:GY50_1144
ko:K06990	dmg:GY50_1148
ko:K04069	dmg:GY50_1149
ko:K09767	dmg:GY50_1152
ko:K00859	dmg:GY50_1160
ko:K02888	dmg:GY50_1162
ko:K02899	dmg:GY50_1163
ko:K02909	dmg:GY50_1164
ko:K01814	dmg:GY50_1168
ko:K02435	dmg:GY50_1171
ko:K02433	dmg:GY50_1172
ko:K07729	dmg:GY50_1175
ko:K01990	dmg:GY50_1176
ko:K01992	dmg:GY50_1177
ko:K10907	dmg:GY50_1181
ko:K01867	dmg:GY50_1182
ko:K03527	dmg:GY50_1183
ko:K01736	dmg:GY50_0387
ko:K00800	dmg:GY50_0388
ko:K00891	dmg:GY50_0389
ko:K00014	dmg:GY50_0390
ko:K03785	dmg:GY50_0391
ko:K01735	dmg:GY50_0392
ko:K03856	dmg:GY50_0393
ko:K02950	dmg:GY50_0395
ko:K02992	dmg:GY50_0396
ko:K02355	dmg:GY50_0397
ko:K02946	dmg:GY50_0399
ko:K02906	dmg:GY50_0400
ko:K02926	dmg:GY50_0401
ko:K02892	dmg:GY50_0402
ko:K02886	dmg:GY50_0403
ko:K02965	dmg:GY50_0404
ko:K02890	dmg:GY50_0405
ko:K02982	dmg:GY50_0406
ko:K02878	dmg:GY50_0407
ko:K02904	dmg:GY50_0408
ko:K02961	dmg:GY50_0409
ko:K02874	dmg:GY50_0410
ko:K02895	dmg:GY50_0411
ko:K02931	dmg:GY50_0412
ko:K02954	dmg:GY50_0413
ko:K02994	dmg:GY50_0414
ko:K02933	dmg:GY50_0415
ko:K02881	dmg:GY50_0416
ko:K02988	dmg:GY50_0417
ko:K02907	dmg:GY50_0418
ko:K02876	dmg:GY50_0419
ko:K03076	dmg:GY50_0420
ko:K00939	dmg:GY50_0421
ko:K01265	dmg:GY50_0422
ko:K02518	dmg:GY50_0423
ko:K02919	dmg:GY50_0424
ko:K02952	dmg:GY50_0425
ko:K02948	dmg:GY50_0426
ko:K02986	dmg:GY50_0427
ko:K03040	dmg:GY50_0428
ko:K02879	dmg:GY50_0429
ko:K06173	dmg:GY50_0430
ko:K02871	dmg:GY50_0431
ko:K02996	dmg:GY50_0432
ko:K15916	dmg:GY50_0435
ko:K00789	dmg:GY50_0438
ko:K01251	dmg:GY50_0439
ko:K07028	dmg:GY50_0440
ko:K00772	dmg:GY50_0443
ko:K01635	dmg:GY50_1184
ko:K16370	dmg:GY50_1185
ko:K03088	dmg:GY50_1187
ko:K02454	dmg:GY50_1190
ko:K02653	dmg:GY50_1191
ko:K02662	dmg:GY50_1197
ko:K02669	dmg:GY50_1198
ko:K02654	dmg:GY50_1200
ko:K05947	dmg:GY50_1201
ko:K01885	dmg:GY50_1203
ko:K04070	dmg:GY50_1207
ko:K07042	dmg:GY50_1209
ko:K17828	dmg:GY50_1211
ko:K03101	dmg:GY50_1213
ko:K06180	dmg:GY50_1214
ko:K00767	dmg:GY50_1220
ko:K00278	dmg:GY50_1221
ko:K03210	dmg:GY50_1222
ko:K06168	dmg:GY50_1223
ko:K03282	dmg:GY50_1225
ko:K10563	dmg:GY50_1226
ko:K00611	dmg:GY50_1232
ko:K03977	dmg:GY50_1233
ko:K08591	dmg:GY50_1234
ko:K00057	dmg:GY50_1235
ko:K08963	dmg:GY50_0444
ko:K01990	dmg:GY50_0446
ko:K07159	dmg:GY50_0451
ko:K03592	dmg:GY50_0452
ko:K03568	dmg:GY50_0453
ko:K03431	dmg:GY50_0454
ko:K04042	dmg:GY50_0455
ko:K00973	dmg:GY50_0456
ko:K00820	dmg:GY50_0457
ko:K06910	dmg:GY50_0458
ko:K07025	dmg:GY50_0459
ko:K01586	dmg:GY50_0460
ko:K02341	dmg:GY50_0461
ko:K02939	dmg:GY50_0467
ko:K00384	dmg:GY50_0468
ko:K03621	dmg:GY50_0469
ko:K03701	dmg:GY50_0472
ko:K03086	dmg:GY50_0476
ko:K01129	dmg:GY50_0478
ko:K08999	dmg:GY50_0481
ko:K02108	dmg:GY50_0483
ko:K02110	dmg:GY50_0484
ko:K02109	dmg:GY50_0485
ko:K02113	dmg:GY50_0486
ko:K02111	dmg:GY50_0487
ko:K02115	dmg:GY50_0488
