ko:K02847	xcf:J172_03965
ko:K03500	xcf:J172_03967
ko:K00604	xcf:J172_03968
ko:K01462	xcf:J172_03969
ko:K04096	xcf:J172_03971
ko:K03747	xcf:J172_03972
ko:K13979	xcf:J172_00135
ko:K00266	xcf:J172_00136
ko:K00265	xcf:J172_00137
ko:K01434	xcf:J172_00141
ko:K12994	xcf:J172_00144
ko:K12995	xcf:J172_00145
ko:K03606	xcf:J172_00146
ko:K01791	xcf:J172_00147
ko:K05946	xcf:J172_00149
ko:K01953	xcf:J172_00154
ko:K01953	xcf:J172_00162
ko:K07502	xcf:J172_00183
ko:K06877	xcf:J172_00184
ko:K11068	xcf:J172_00185
ko:K06968	xcf:J172_01007
ko:K01886	xcf:J172_01011
ko:K07304	xcf:J172_01018
ko:K00616	xcf:J172_01020
ko:K06140	xcf:J172_01021
ko:K04761	xcf:J172_01022
ko:K03387	xcf:J172_01023
ko:K03386	xcf:J172_01024
ko:K02493	xcf:J172_01025
ko:K01259	xcf:J172_01026
ko:K01515	xcf:J172_01028
ko:K00324	xcf:J172_01035
ko:K03088	xcf:J172_01039
ko:K00324	xcf:J172_01040
ko:K00325	xcf:J172_01041
ko:K00826	xcf:J172_01044
ko:K14645	xcf:J172_01045
ko:K14645	xcf:J172_01046
ko:K14645	xcf:J172_01047
ko:K03976	xcf:J172_01048
ko:K01424	xcf:J172_01049
ko:K03809	xcf:J172_01053
ko:K07058	xcf:J172_01054
ko:K01512	xcf:J172_01056
ko:K00791	xcf:J172_01880
ko:K03666	xcf:J172_01881
ko:K03665	xcf:J172_01882
ko:K03743	xcf:J172_01883
ko:K03688	xcf:J172_01884
ko:K01356	xcf:J172_01885
ko:K03565	xcf:J172_01887
ko:K01872	xcf:J172_01888
ko:K03563	xcf:J172_01889
ko:K03406	xcf:J172_01891
ko:K06911	xcf:J172_01892
ko:K00941	xcf:J172_01898
ko:K07175	xcf:J172_01901
ko:K03564	xcf:J172_01902
ko:K03567	xcf:J172_01904
ko:K01714	xcf:J172_01905
ko:K05524	xcf:J172_01907
ko:K00883	xcf:J172_01908
ko:K01684	xcf:J172_01910
ko:K01631	xcf:J172_01911
ko:K05970	xcf:J172_01917
ko:K01811	xcf:J172_01919
ko:K15923	xcf:J172_01920
ko:K00854	xcf:J172_01921
