ko:K00451	ahd:AI20_06145
ko:K16171	ahd:AI20_06150
ko:K01953	ahd:AI20_06165
ko:K06995	ahd:AI20_06170
ko:K02566	ahd:AI20_06180
ko:K10680	ahd:AI20_06190
ko:K05592	ahd:AI20_06220
ko:K07084	ahd:AI20_06230
ko:K03683	ahd:AI20_06235
ko:K01759	ahd:AI20_06250
ko:K10773	ahd:AI20_06255
ko:K03613	ahd:AI20_06260
ko:K03612	ahd:AI20_06265
ko:K03614	ahd:AI20_06270
ko:K03615	ahd:AI20_06275
ko:K03616	ahd:AI20_06280
ko:K03617	ahd:AI20_06285
ko:K03406	ahd:AI20_06295
ko:K00209	ahd:AI20_06305
ko:K14260	ahd:AI20_06320
ko:K00537	ahd:AI20_10700
ko:K03548	ahd:AI20_10720
ko:K10111	ahd:AI20_10740
ko:K10110	ahd:AI20_10745
ko:K10109	ahd:AI20_10750
ko:K10108	ahd:AI20_10755
ko:K06899	ahd:AI20_10760
ko:K09904	ahd:AI20_10765
ko:K07014	ahd:AI20_10770
ko:K02014	ahd:AI20_10775
ko:K01354	ahd:AI20_10780
ko:K08276	ahd:AI20_10800
ko:K09897	ahd:AI20_10805
ko:K14187	ahd:AI20_10815
ko:K01626	ahd:AI20_10820
ko:K01126	ahd:AI20_10825
ko:K00111	ahd:AI20_10830
ko:K02444	ahd:AI20_10840
ko:K02445	ahd:AI20_10845
ko:K02440	ahd:AI20_10850
ko:K00864	ahd:AI20_10855
ko:K03406	ahd:AI20_10860
ko:K06996	ahd:AI20_10880
ko:K06222	ahd:AI20_10895
ko:K09929	ahd:AI20_10910
ko:K09930	ahd:AI20_10915
ko:K00426	ahd:AI20_10935
ko:K00425	ahd:AI20_10940
ko:K01897	ahd:AI20_15660
ko:K01919	ahd:AI20_15665
ko:K07263	ahd:AI20_15670
ko:K00528	ahd:AI20_15715
ko:K02939	ahd:AI20_15720
ko:K02963	ahd:AI20_15725
ko:K02990	ahd:AI20_15730
ko:K03322	ahd:AI20_15735
ko:K02348	ahd:AI20_15785
ko:K03218	ahd:AI20_15795
ko:K12573	ahd:AI20_15820
ko:K13590	ahd:AI20_15825
ko:K07173	ahd:AI20_15830
ko:K04751	ahd:AI20_15840
ko:K01950	ahd:AI20_15845
ko:K08084	ahd:AI20_15865
ko:K02655	ahd:AI20_15870
ko:K02655	ahd:AI20_15875
ko:K02674	ahd:AI20_15880
ko:K02673	ahd:AI20_15885
ko:K02672	ahd:AI20_15890
ko:K02671	ahd:AI20_15895
ko:K08084	ahd:AI20_15900
ko:K03527	ahd:AI20_15905
ko:K03774	ahd:AI20_15910
ko:K03101	ahd:AI20_15915
ko:K01870	ahd:AI20_15920
ko:K11753	ahd:AI20_15925
ko:K03980	ahd:AI20_15930
ko:K02968	ahd:AI20_15935
ko:K03717	ahd:AI20_15945
ko:K03313	ahd:AI20_15955
ko:K11074	ahd:AI20_20355
ko:K03654	ahd:AI20_20380
ko:K08997	ahd:AI20_20395
ko:K09125	ahd:AI20_20405
ko:K02553	ahd:AI20_20410
ko:K03406	ahd:AI20_20415
ko:K06213	ahd:AI20_20420
ko:K02302	ahd:AI20_20425
ko:K02598	ahd:AI20_20430
ko:K00363	ahd:AI20_20435
ko:K00362	ahd:AI20_20440
ko:K03667	ahd:AI20_20455
ko:K01419	ahd:AI20_20460
ko:K03591	ahd:AI20_20465
ko:K01887	ahd:AI20_20470
ko:K07157	ahd:AI20_20475
ko:K03088	ahd:AI20_20480
ko:K07167	ahd:AI20_20485
ko:K06153	ahd:AI20_20490
ko:K01785	ahd:AI20_20500
ko:K00849	ahd:AI20_20505
ko:K00965	ahd:AI20_20510
ko:K01784	ahd:AI20_20515
ko:K02529	ahd:AI20_20520
ko:K01190	ahd:AI20_20525
ko:K10540	ahd:AI20_20530
ko:K10542	ahd:AI20_20535
ko:K10541	ahd:AI20_20540
ko:K03406	ahd:AI20_20545
ko:K01478	ahd:AI20_20565
ko:K00926	ahd:AI20_20570
ko:K00611	ahd:AI20_20575
ko:K00610	ahd:AI20_20590
ko:K00609	ahd:AI20_20595
ko:K01613	ahd:AI20_20610
ko:K03406	ahd:AI20_20620
ko:K03098	ahd:AI20_20625
ko:K08325	ahd:AI20_20635
ko:K09973	ahd:AI20_14040
ko:K01299	ahd:AI20_14055
ko:K13529	ahd:AI20_14065
ko:K00567	ahd:AI20_14070
ko:K08303	ahd:AI20_14085
ko:K00648	ahd:AI20_14100
ko:K03406	ahd:AI20_14105
ko:K03413	ahd:AI20_14110
ko:K03407	ahd:AI20_14120
ko:K03406	ahd:AI20_14125
ko:K03408	ahd:AI20_14130
ko:K00575	ahd:AI20_14140
ko:K03411	ahd:AI20_14145
ko:K03412	ahd:AI20_14150
ko:K08303	ahd:AI20_14185
ko:K01775	ahd:AI20_14200
ko:K02415	ahd:AI20_18610
ko:K02821	ahd:AI20_18640
ko:K02822	ahd:AI20_18645
ko:K03475	ahd:AI20_18650
ko:K02527	ahd:AI20_18655
ko:K02843	ahd:AI20_18660
ko:K12984	ahd:AI20_18665
ko:K00954	ahd:AI20_18675
ko:K09824	ahd:AI20_18680
ko:K10563	ahd:AI20_18685
ko:K02913	ahd:AI20_18695
ko:K03630	ahd:AI20_18705
ko:K13038	ahd:AI20_18710
ko:K05501	ahd:AI20_18720
ko:K03442	ahd:AI20_18725
ko:K01810	ahd:AI20_18735
ko:K00053	ahd:AI20_18740
ko:K02521	ahd:AI20_18745
ko:K00230	ahd:AI20_18785
ko:K03498	ahd:AI20_18790
ko:K01907	ahd:AI20_18805
ko:K01825	ahd:AI20_18810
ko:K17315	ahd:AI20_18830
ko:K04085	ahd:AI20_18840
ko:K01246	ahd:AI20_18865
ko:K01878	ahd:AI20_18870
ko:K01879	ahd:AI20_18875
ko:K03406	ahd:AI20_01555
ko:K09950	ahd:AI20_01565
ko:K02004	ahd:AI20_01570
ko:K02003	ahd:AI20_01575
ko:K07109	ahd:AI20_01590
ko:K01507	ahd:AI20_01605
ko:K02558	ahd:AI20_01610
ko:K03186	ahd:AI20_01615
ko:K00760	ahd:AI20_01625
ko:K01990	ahd:AI20_01630
ko:K01992	ahd:AI20_01635
ko:K01918	ahd:AI20_01665
ko:K00606	ahd:AI20_01670
ko:K00950	ahd:AI20_01675
ko:K00970	ahd:AI20_01680
ko:K01894	ahd:AI20_01685
ko:K06204	ahd:AI20_01690
ko:K06206	ahd:AI20_01695
ko:K01975	ahd:AI20_01700
ko:K03579	ahd:AI20_01705
ko:K05365	ahd:AI20_01710
ko:K08234	ahd:AI20_01715
ko:K11742	ahd:AI20_01720
ko:K11743	ahd:AI20_01725
ko:K01845	ahd:AI20_01760
ko:K03281	ahd:AI20_01765
ko:K15724	ahd:AI20_01775
ko:K03557	ahd:AI20_01805
ko:K05540	ahd:AI20_01810
ko:K01993	ahd:AI20_01825
ko:K01992	ahd:AI20_01830
ko:K07259	ahd:AI20_06335
ko:K02478	ahd:AI20_06365
ko:K04072	ahd:AI20_06375
ko:K15580	ahd:AI20_06390
ko:K15581	ahd:AI20_06395
ko:K15582	ahd:AI20_06400
ko:K15583	ahd:AI20_06405
ko:K10823	ahd:AI20_06410
ko:K01775	ahd:AI20_06420
ko:K01465	ahd:AI20_06445
ko:K03406	ahd:AI20_06455
ko:K02503	ahd:AI20_06460
ko:K09859	ahd:AI20_06465
ko:K07337	ahd:AI20_06475
ko:K03072	ahd:AI20_06495
ko:K03074	ahd:AI20_06500
ko:K03406	ahd:AI20_06505
ko:K09781	ahd:AI20_06515
ko:K08602	ahd:AI20_06520
ko:K08602	ahd:AI20_06525
ko:K07000	ahd:AI20_06535
ko:K03885	ahd:AI20_06540
ko:K00928	ahd:AI20_06590
ko:K14682	ahd:AI20_06595
ko:K07304	ahd:AI20_06600
ko:K03830	ahd:AI20_06610
ko:K03449	ahd:AI20_11000
ko:K06182	ahd:AI20_11010
ko:K03406	ahd:AI20_11065
ko:K05798	ahd:AI20_11080
ko:K01585	ahd:AI20_11095
ko:K01258	ahd:AI20_11105
ko:K07401	ahd:AI20_11115
ko:K01251	ahd:AI20_11120
ko:K01938	ahd:AI20_11145
ko:K03406	ahd:AI20_11155
ko:K01495	ahd:AI20_11160
ko:K03750	ahd:AI20_11165
ko:K02017	ahd:AI20_11180
ko:K02018	ahd:AI20_11185
ko:K02020	ahd:AI20_11190
ko:K03635	ahd:AI20_11195
ko:K03636	ahd:AI20_11200
ko:K03637	ahd:AI20_11205
ko:K03638	ahd:AI20_11210
ko:K02569	ahd:AI20_11215
ko:K02568	ahd:AI20_11220
ko:K02574	ahd:AI20_11225
ko:K02573	ahd:AI20_11230
ko:K02567	ahd:AI20_11235
ko:K02570	ahd:AI20_11240
ko:K02572	ahd:AI20_11245
ko:K03639	ahd:AI20_11250
ko:K07674	ahd:AI20_11255
ko:K07685	ahd:AI20_11260
ko:K07157	ahd:AI20_11265
ko:K13292	ahd:AI20_15965
ko:K08484	ahd:AI20_15970
