ko:K03628	paly:O3E_01010
ko:K04075	paly:O3E_01015
ko:K02337	paly:O3E_01020
ko:K02357	paly:O3E_01030
ko:K02967	paly:O3E_01035
ko:K01265	paly:O3E_01040
ko:K00674	paly:O3E_01045
ko:K01439	paly:O3E_01050
ko:K01866	paly:O3E_01060
ko:K02221	paly:O3E_01065
ko:K02204	paly:O3E_01590
ko:K00817	paly:O3E_01595
ko:K02500	paly:O3E_01600
ko:K01814	paly:O3E_01605
ko:K02501	paly:O3E_01625
ko:K01693	paly:O3E_01630
ko:K06180	paly:O3E_01650
ko:K05595	paly:O3E_01655
ko:K01652	paly:O3E_01660
ko:K01653	paly:O3E_01665
ko:K00053	paly:O3E_01670
ko:K02959	paly:O3E_01675
ko:K02860	paly:O3E_01680
ko:K02884	paly:O3E_01685
ko:K00003	paly:O3E_01690
ko:K01733	paly:O3E_01695
ko:K03664	paly:O3E_01700
ko:K03687	paly:O3E_01705
ko:K00215	paly:O3E_01070
ko:K01956	paly:O3E_01085
ko:K01955	paly:O3E_01090
ko:K03624	paly:O3E_01095
ko:K03798	paly:O3E_01100
ko:K02600	paly:O3E_01115
ko:K02519	paly:O3E_01125
ko:K02834	paly:O3E_01135
ko:K01890	paly:O3E_01145
ko:K01889	paly:O3E_01150
ko:K02887	paly:O3E_01155
ko:K02916	paly:O3E_01160
ko:K02520	paly:O3E_01165
ko:K02471	paly:O3E_01175
ko:K01881	paly:O3E_01180
ko:K03786	paly:O3E_01185
ko:K11102	paly:O3E_01190
ko:K00297	paly:O3E_01195
ko:K00036	paly:O3E_01230
ko:K00845	paly:O3E_01235
ko:K02114	paly:O3E_00200
ko:K00611	paly:O3E_00205
ko:K01704	paly:O3E_00220
ko:K00052	paly:O3E_00225
ko:K00133	paly:O3E_00230
ko:K06173	paly:O3E_00235
ko:K01817	paly:O3E_00240
ko:K06895	paly:O3E_00245
ko:K01875	paly:O3E_00250
ko:K03977	paly:O3E_00260
ko:K01892	paly:O3E_00265
ko:K01338	paly:O3E_00280
