ko:K02440	ssuy:YB51_4335
ko:K03657	ssuy:YB51_4360
ko:K07025	ssuy:YB51_4370
ko:K07260	ssuy:YB51_4385
ko:K04750	ssuy:YB51_4390
ko:K01992	ssuy:YB51_4400
ko:K01990	ssuy:YB51_4405
ko:K03703	ssuy:YB51_4410
ko:K03979	ssuy:YB51_4420
ko:K16899	ssuy:YB51_4435
ko:K16898	ssuy:YB51_4440
ko:K08591	ssuy:YB51_4445
ko:K02622	ssuy:YB51_4450
ko:K04095	ssuy:YB51_4455
ko:K02621	ssuy:YB51_4470
ko:K00826	ssuy:YB51_4480
ko:K02945	ssuy:YB51_4495
ko:K01620	ssuy:YB51_4500
ko:K04487	ssuy:YB51_4510
ko:K03151	ssuy:YB51_4515
ko:K03311	ssuy:YB51_4520
ko:K02888	ssuy:YB51_4525
ko:K02899	ssuy:YB51_4530
ko:K03101	ssuy:YB51_4545
ko:K06180	ssuy:YB51_4550
ko:K02755	ssuy:YB51_8315
ko:K02756	ssuy:YB51_8315
ko:K02757	ssuy:YB51_8315
ko:K03488	ssuy:YB51_8320
ko:K00382	ssuy:YB51_8330
ko:K00627	ssuy:YB51_8335
ko:K00162	ssuy:YB51_8340
ko:K00161	ssuy:YB51_8345
ko:K02834	ssuy:YB51_8365
ko:K02519	ssuy:YB51_8370
ko:K07742	ssuy:YB51_8380
ko:K02600	ssuy:YB51_8385
ko:K09748	ssuy:YB51_8390
ko:K03439	ssuy:YB51_8395
ko:K01992	ssuy:YB51_8405
ko:K01990	ssuy:YB51_8410
ko:K02503	ssuy:YB51_8415
ko:K06925	ssuy:YB51_8435
ko:K07030	ssuy:YB51_8440
ko:K02034	ssuy:YB51_8455
ko:K02033	ssuy:YB51_8460
ko:K02035	ssuy:YB51_8475
ko:K07258	ssuy:YB51_8485
ko:K09014	ssuy:YB51_8490
ko:K04488	ssuy:YB51_8500
ko:K11717	ssuy:YB51_8505
ko:K09015	ssuy:YB51_8510
ko:K09013	ssuy:YB51_8515
ko:K16511	ssuy:YB51_8525
ko:K06153	ssuy:YB51_8530
ko:K17073	ssuy:YB51_8535
ko:K17074	ssuy:YB51_8535
ko:K17076	ssuy:YB51_8540
ko:K01996	ssuy:YB51_6830
ko:K01995	ssuy:YB51_6835
ko:K01998	ssuy:YB51_6840
ko:K01997	ssuy:YB51_6845
ko:K01999	ssuy:YB51_6850
ko:K01358	ssuy:YB51_6860
ko:K00761	ssuy:YB51_6865
ko:K00690	ssuy:YB51_6875
ko:K10119	ssuy:YB51_6880
ko:K10118	ssuy:YB51_6885
ko:K10117	ssuy:YB51_6890
ko:K07407	ssuy:YB51_6895
ko:K14155	ssuy:YB51_6905
ko:K01739	ssuy:YB51_6910
ko:K07461	ssuy:YB51_6950
ko:K01118	ssuy:YB51_6955
ko:K05592	ssuy:YB51_6975
ko:K00868	ssuy:YB51_7005
ko:K01243	ssuy:YB51_7015
ko:K01515	ssuy:YB51_7025
ko:K04042	ssuy:YB51_7030
ko:K00059	ssuy:YB51_7045
ko:K10947	ssuy:YB51_7060
ko:K02004	ssuy:YB51_7070
ko:K15051	ssuy:YB51_5840
ko:K00790	ssuy:YB51_5850
ko:K02114	ssuy:YB51_5860
ko:K02112	ssuy:YB51_5865
ko:K02115	ssuy:YB51_5870
ko:K02111	ssuy:YB51_5875
ko:K02113	ssuy:YB51_5880
ko:K02109	ssuy:YB51_5885
ko:K02108	ssuy:YB51_5890
ko:K02110	ssuy:YB51_5895
ko:K01972	ssuy:YB51_5905
ko:K07089	ssuy:YB51_5915
