ko:K04478	sauw:SAI5S5_1014140
ko:K05520	sauw:SAI5S5_1014150
ko:K01104	sauw:SAI5S5_1014190
ko:K07058	sauw:SAI5S5_1014200
ko:K07694	sauw:SAI5S5_1014210
ko:K07681	sauw:SAI5S5_1014220
ko:K01265	sauw:SAI5S5_1014240
ko:K07009	sauw:SAI5S5_1014270
ko:K02217	sauw:SAI5S5_1014290
ko:K02342	sauw:SAI5S5_1014300
ko:K02346	sauw:SAI5S5_1014310
ko:K03215	sauw:SAI5S5_1014330
ko:K02434	sauw:SAI5S5_1014350
ko:K02433	sauw:SAI5S5_1014360
ko:K11928	sauw:SAI5S5_1014370
ko:K01972	sauw:SAI5S5_1014390
ko:K03657	sauw:SAI5S5_1014400
ko:K07094	sauw:SAI5S5_1014410
ko:K01756	sauw:SAI5S5_1014420
ko:K08258	sauw:SAI5S5_1014430
ko:K01916	sauw:SAI5S5_1014450
ko:K00763	sauw:SAI5S5_1014460
ko:K00491	sauw:SAI5S5_1014470
ko:K04518	sauw:SAI5S5_1014480
ko:K14445	sauw:SAI5S5_1014490
ko:K03475	sauw:SAI5S5_1002530
ko:K02445	sauw:SAI5S5_1002560
ko:K00299	sauw:SAI5S5_1002590
ko:K03817	sauw:SAI5S5_1002620
ko:K07224	sauw:SAI5S5_1002630
ko:K16301	sauw:SAI5S5_1002640
ko:K07243	sauw:SAI5S5_1002650
ko:K03118	sauw:SAI5S5_1002660
ko:K01990	sauw:SAI5S5_1002680
ko:K00626	sauw:SAI5S5_1002710
ko:K00549	sauw:SAI5S5_1002730
ko:K01760	sauw:SAI5S5_1002750
ko:K01739	sauw:SAI5S5_1002760
ko:K06942	sauw:SAI5S5_1002790
ko:K01834	sauw:SAI5S5_1002840
ko:K03387	sauw:SAI5S5_1002860
ko:K03386	sauw:SAI5S5_1002870
ko:K06956	sauw:SAI5S5_1002890
ko:K03816	sauw:SAI5S5_1002940
ko:K16169	sauw:SAI5S5_1002950
ko:K00088	sauw:SAI5S5_1002960
ko:K01951	sauw:SAI5S5_1002970
ko:K11042	sauw:SAI5S5_1003010
ko:K03183	sauw:SAI5S5_1010600
ko:K00057	sauw:SAI5S5_1010620
ko:K03977	sauw:SAI5S5_1010630
ko:K02945	sauw:SAI5S5_1010640
ko:K00945	sauw:SAI5S5_1010650
ko:K01424	sauw:SAI5S5_1010660
ko:K03654	sauw:SAI5S5_1010690
ko:K07651	sauw:SAI5S5_1010780
ko:K07775	sauw:SAI5S5_1010790
ko:K06178	sauw:SAI5S5_1010800
ko:K06024	sauw:SAI5S5_1010810
ko:K05896	sauw:SAI5S5_1010820
ko:K09763	sauw:SAI5S5_1010830
ko:K04763	sauw:SAI5S5_1010840
ko:K01515	sauw:SAI5S5_1010850
ko:K07124	sauw:SAI5S5_1010870
ko:K00286	sauw:SAI5S5_1010880
ko:K00784	sauw:SAI5S5_1010890
ko:K00036	sauw:SAI5S5_1010900
ko:K01187	sauw:SAI5S5_1010920
ko:K00033	sauw:SAI5S5_1010950
ko:K09699	sauw:SAI5S5_1010980
ko:K00167	sauw:SAI5S5_1010990
ko:K00166	sauw:SAI5S5_1011000
ko:K00382	sauw:SAI5S5_1011010
ko:K03631	sauw:SAI5S5_1011020
ko:K13789	sauw:SAI5S5_1011030
ko:K03601	sauw:SAI5S5_1011040
ko:K01961	sauw:SAI5S5_1011050
ko:K02160	sauw:SAI5S5_1011060
ko:K02356	sauw:SAI5S5_1011070
ko:K01262	sauw:SAI5S5_1011080
