ko:K09792	hei:C730_04420
ko:K03525	hei:C730_04425
ko:K02956	hei:C730_05380
ko:K02400	hei:C730_05385
ko:K01895	hei:C730_05405
ko:K09748	hei:C730_05410
ko:K02834	hei:C730_05415
ko:K02519	hei:C730_05420
ko:K00872	hei:C730_05430
ko:K02535	hei:C730_05440
ko:K03610	hei:C730_05445
ko:K00606	hei:C730_05470
ko:K03551	hei:C730_05475
ko:K03117	hei:C730_05480
ko:K03118	hei:C730_05485
ko:K07568	hei:C730_05490
ko:K03501	hei:C730_05495
ko:K06950	hei:C730_05500
ko:K03413	hei:C730_05515
ko:K02687	hei:C730_05520
ko:K03798	hei:C730_05525
ko:K07241	hei:C730_05565
ko:K00609	hei:C730_05600
ko:K06442	hei:C730_05610
ko:K11753	hei:C730_05615
ko:K00615	hei:C730_05620
ko:K03466	hei:C730_05630
ko:K02392	hei:C730_05640
ko:K02935	hei:C730_06210
ko:K02864	hei:C730_06215
ko:K02863	hei:C730_06220
ko:K02867	hei:C730_06225
ko:K02601	hei:C730_06230
ko:K03073	hei:C730_06235
ko:K02913	hei:C730_06240
ko:K02358	hei:C730_06245
ko:K00640	hei:C730_06270
ko:K02110	hei:C730_06280
ko:K00962	hei:C730_06285
ko:K04744	hei:C730_06295
ko:K01945	hei:C730_06305
ko:K00806	hei:C730_06315
ko:K06199	hei:C730_06335
ko:K08311	hei:C730_06350
ko:K00928	hei:C730_06355
ko:K02341	hei:C730_06365
ko:K00796	hei:C730_06370
ko:K09804	hei:C730_06390
ko:K01956	hei:C730_06395
ko:K06287	hei:C730_06405
ko:K01872	hei:C730_06410
ko:K09794	hei:C730_06415
ko:K15847	hei:C730_06430
ko:K03183	hei:C730_07685
ko:K08973	hei:C730_07690
ko:K01993	hei:C730_07710
ko:K03306	hei:C730_07730
ko:K01928	hei:C730_07745
ko:K02897	hei:C730_07755
ko:K01056	hei:C730_07760
ko:K11720	hei:C730_07765
ko:K09943	hei:C730_07785
ko:K11752	hei:C730_07800
ko:K03312	hei:C730_07805
ko:K08591	hei:C730_07820
ko:K01633	hei:C730_07825
ko:K01042	hei:C730_07845
ko:K02600	hei:C730_07850
ko:K03655	hei:C730_07895
ko:K01142	hei:C730_07910
ko:K02313	hei:C730_07925
ko:K00820	hei:C730_07940
ko:K01955	hei:C730_04735
ko:K00134	hei:C730_04745
ko:K01821	hei:C730_04760
ko:K06187	hei:C730_04765
ko:K06176	hei:C730_04770
ko:K03799	hei:C730_04775
ko:K01495	hei:C730_04780
ko:K00795	hei:C730_04785
ko:K03787	hei:C730_04790
ko:K01737	hei:C730_04800
ko:K10009	hei:C730_04835
ko:K01775	hei:C730_04845
ko:K03310	hei:C730_04850
ko:K00285	hei:C730_04855
ko:K00783	hei:C730_04890
ko:K01963	hei:C730_04895
ko:K13292	hei:C730_04920
ko:K02527	hei:C730_04930
ko:K07164	hei:C730_04935
ko:K01878	hei:C730_04945
ko:K00057	hei:C730_04950
ko:K02078	hei:C730_04955
ko:K01625	hei:C730_05670
ko:K01690	hei:C730_05675
ko:K00036	hei:C730_05680
ko:K01057	hei:C730_05685
ko:K13979	hei:C730_05695
ko:K00172	hei:C730_05715
ko:K00171	hei:C730_05720
ko:K00169	hei:C730_05725
ko:K00170	hei:C730_05730
ko:K01756	hei:C730_05735
ko:K03702	hei:C730_05745
ko:K02396	hei:C730_05775
ko:K03775	hei:C730_05800
ko:K03640	hei:C730_05810
ko:K03641	hei:C730_05815
ko:K02114	hei:C730_05835
ko:K02112	hei:C730_05840
ko:K02115	hei:C730_05845
ko:K02111	hei:C730_05850
ko:K02113	hei:C730_05855
ko:K02109	hei:C730_05860
ko:K02109	hei:C730_05865
ko:K02963	hei:C730_06440
ko:K02990	hei:C730_06450
ko:K02340	hei:C730_06455
ko:K12573	hei:C730_06460
ko:K00014	hei:C730_06465
ko:K13894	hei:C730_06475
ko:K13893	hei:C730_06480
ko:K01867	hei:C730_06485
ko:K02169	hei:C730_06490
ko:K03075	hei:C730_06495
ko:K02838	hei:C730_06500
ko:K00762	hei:C730_06505
